ID	Tweet	Affect Dimension	Intensity Score
2018-Ar-03485	انا واثق في مستوى وقوة اليوفي لكن خايف من الحظ اللي دايم يخذلنا ف النهائيات خسارة ٦ نهائيات من اصل ٨ شي مرعب	valence	0.438
2018-Ar-01566	متل ما اجا #مطر💦 بنص #الصيف🌼 رح تجي #فرحة😍 بنص #الوجع💔 #يارب🙈❤	valence	0.688
2018-Ar-03006	بس والله مبسوط جدا بالحفلة وانتو البنات الله يعينكم القلب معاكم والله مدري وين الغلط في حضوركم	valence	0.688
2018-Ar-03386	عشت صباح كئيب جدا لدرجة للآن عيوني مصدعه طيب خليها حزينه النهاية بس مو للهدرجة :( #karasevdafinal	valence	0.172
2018-Ar-03898	سميعة فادي إبراهيم مجرد ما بيسمعوا البرنامج بيكون عندهم طاقة سعادة و انشكاح غير طبيعية وربنا 😂 😂 💃 💃 #الليله_عند_بيومي_فؤاد	valence	0.781
2018-Ar-02180	مش هتفرق #فرحانه 😃ولا #زعلانه😖\nعلشان انا فى#الحالتين بضحك😂🐼✋	valence	0.797
2018-Ar-03332	#الارشاد_في_التربيه_الخاصه_جامعه_الامام ان العقاب بالرغم من انه يمنع حدوث سلوك سلبي الا انه يكون سببا لإثارة الغضب والعدوانية	valence	0.359
2018-Ar-01179	@yellow1010101 @s_almogren مبسوطين ولله الحمد والمنه ولا حاسين بنقص ولا غمه \nالله يطول في اعمار حكامنا مش مخلينا محتاجين لحد	valence	0.797
2018-Ar-04074	أسبوع كامل بروح من الشغل الكهرباء قاطعة\nاليوم برضه كانت قاطعة\nالجديد أنها جت وأنا ع باب البيت،\nويا فرحة ما تمت قطعت بعد نص ساعة\n#غزة_للمجهول	valence	0.344
2018-Ar-03679	آسف على نفسيتي المتقلبه على غضبي المفاجئ واسف لقلبك المسكين الذي يعاني من مزاجيتي بدون ذنب منه اسف لحظك اللي أعطاك شخص سيء مثلي يحبك 😴	valence	0.219
2018-Ar-00051	النقاش مع شخص تحبه وتثق فيه مفيد جدا في تخفيف التوتر والاكتئاب ويمنحك ثقة كبيرة في نفسك #متي_تتخلص_السعوديه_من_التشدد	valence	0.604
2018-Ar-00034	أبويا الله يرحمه كان دايما يقولي : محدش حيمسح #دمعتك إلا ايدك\n\nوكنت بسمع الجملة وأكبر دماغي\n\nومعرفتش قيمة وحقيقة الجملة دي إلا بعد موته.	valence	0.391
2018-Ar-02639	@Eno0305_108 طب انا بلعب جيم ومبجوعش قالولي شوية وهتبدئ تجوع ومفيش جربت كذا فاتح شهية و معملوش حاجة عندك اقتراحات؟	valence	0.531
2018-Ar-04271	انتي كده مرتاحه يعني انا حاسه ان في خطوره علي كل محلات الاكل اللي حواليكوا يا رنا	valence	0.438
2018-Ar-03492	رغبه قويه اعرف أخبار شخص انقعطت لمدة طويله فضول لا اكثر ولا اقل 😪	valence	0.547
2018-Ar-01427	إعجاب + حب + زواج = نهاية سعيدة	valence	0.855
2018-Ar-02576	الحماس كله مدريدي... بس القلب شوي شوي يقول بوفون بيستاهل 💙\n#هلا_مدريد	valence	0.703
2018-Ar-03431	تجيني فترات ما اطول فالنوم عكس نومي اول اقوم بي شعور بالفزع و تأنيب الضمير مع اني مالقيت السبب	valence	0.403
2018-Ar-02394	جيزان قبل قليل كمين محكم يؤدي بمقتل اكثر من 5 عسكريين سعوديين بينهم ضابط واسر 2 هذا سبب تحليق طائراتهم الجبانة بشكل هستيري الى جهنم	valence	0.219
2018-Ar-03313	ضحكتك حبيبي تمليني فرح طلبتك خلك مبتسم حتى لو توادعنا 💙	valence	0.844
2018-Ar-00952	السوري يحس بالفزع و الخوف منكم و من ضرباتكم الخ الخ الخ بتعرفوا ليش	valence	0.258
2018-Ar-03325	المعلمه المريضه هذي تركت اني تعبانه وكل شي ودققت على كلامي وليش اقول تعبان مو تعبانه	valence	0.328
2018-Ar-02116	ونمت على أمل أن #كفنك كان مجرد #كابوس نمت معتقدا أني سأنسى طقوس العزاء لكن كل شيء كان حيا ما عداك انت #ومضة_حرف #سوالف_روح	valence	0.219
2018-Ar-02061	وبذكر الله واسمائه الحسنى أحصن سعادة عائلتنا لهذه الليلة وان لايشوبها نقص ولاحزن~ الهي استودعتك فرحة أختي وتمم لها~ 👰 🏼 👨 🏻 🙏 🏻 💗 #أفراح_آل_بخاري	valence	0.828
2018-Ar-02907	يارب انام يارب انام يارب انام!! مو طبيعي كل ماغمضت عيني فزيت من النوم مرتاعه مدري ليش ، كذا قلبي قاعد يحرقني فيني غصه برضو مدري ليش وجع	valence	0.161
2018-Ar-04277	@roseshoq حنا سدحوا بنت وكفنوها 😩\nخذت لي شهر وانا مروعه ما انام زين لاصقة في امي الله يغفر لها	valence	0.281
2018-Ar-03501	واضح انه المجرمين واعدائي ميعرفونيش كويس غضبي\nملوش حدود .....	valence	0.250
2018-Ar-03063	#مصيبة_مصر_في الخوف اللي ملا قلوب المصريين من بشر ومن أقل شئ ونسو ان الله هو مسبب الأسباب القادر علي كل شئ	valence	0.281
2018-Ar-04062	ربووه هذا الاعلامي النجس كنت اكرهه وكان حقير لكن نواف بن سعد يواصل تربية عديمي التربيه ومن مقر الهلال يعتذر وهو صاغر	valence	0.281
2018-Ar-02471	#سيدي_سلمان_عز_وفخر\nالحين ارفع راسي احمد الله اني من شعب سلمان🇸🇦🇸🇦🇸🇦🇸🇦.	valence	0.661
2018-Ar-00555	ودي أخالفك في الرأي لكن أخاف أصير أخونجي في نظرك لكن أنا اتفق معك	valence	0.297
2018-Ar-00715	@Ezlam هي غريبة جدا عموما، ٣/٤ تويتاتها condescending.. حساها محبطة و غضبانة وناقصها حب. مش مبرر، بس يمكن تفسير لأتتيتيودها.	valence	0.344
2018-Ar-03744	#يستفزني عندما أشاهد لقاء لرجل أعمال سعودي (ملياردير) ويقول: ان بدأت من الصفر واعتمدت على نفسي ودي يقول لنا كم كذب وكم سرق وكم زور وكم	valence	0.188
2018-Ar-00704	لن انسى ارتجاف شفتاي عند تقبيل جبينك البارد نظرتي الأخيرة لك و بكاء قلبي المستمر جمعني الله بك في جنته يارب أختي فقيدة قلبي#اروى_الحمدان 😔 💗	valence	0.226
2018-Ar-02824	شعور اني مزعله شخص قريب من قلبي شعور كلب جدا يارب لا تخليني حسره بقلب احد 😪 💙	valence	0.406
2018-Ar-04163	- لا أكترث للمسافة في غيابك كل ماأخشاه " المسافة " في حضورك مؤلم حد الوجع أن تكون غائبا وأنت حاضر #كلمات #تنهيدة_الصباح	valence	0.391
2018-Ar-02863	الاخوان سبب رئيسي ان الناس مش عايزة تنزل بعد اللي الناس شافوا منهم من خيانة و ركوب على الثورة و تقتيل و ترهيب في الناس بعد ما أتشالوا	valence	0.210
2018-Ar-01052	والله بروج انتي من يوم ما اشوفك ابتسم لا شعوريا وجهك يجيب الانشكاح والتفاؤل ماشاءالله 😍 😂 💗	valence	0.871
2018-Ar-02745	@rujeno_ مااتوقع توصل لهدرجه وبالنسبه للخوف اول تجربه بتعتبر مرعبه للي راح يجرب هو مو شي اكيد لكن للاغلب.	valence	0.329
2018-Ar-04019	انتي اقرب حد ليا يعني المفروض عرفاني، ازاي قدرتي توجعيني كده!	valence	0.355
2018-Ar-03938	@ayloulbk و ماينوصف بالكلام ودك تدخلينه بقلبك عشان يشوف الوجع الي سببه لك	valence	0.313
2018-Ar-00172	ليس هناك قسوة في الحياة أكثر من أن تجتمع الغربة والوحدة معا #الغربة #كربة 😒 😔	valence	0.203
2018-Ar-02962	مع هالمساء فرحة سعادة بسمة عافية يجعلها ربنا عني وعنكم ما تغيب ✍ 🏻	valence	0.726
2018-Ar-03869	اقول لك تصبح على خير الدعا واجمل سلام و اصبح على صدق المحبة واجعل الخافق طهور #سعيد #جروب_النخبة	valence	0.823
2018-Ar-02085	اتمنى مااشوف كلام إشتياق اوحب أو ايا كان إبعدوا عن الدراما شوي وعيشوا الواقع المر	valence	0.323
2018-Ar-01613	حرارة جلدي وخصوصًا يديني ورجليني تزيد بشكل كبير! \nمش سخونة لا.. حرارة\nوكل أحد يسلم عليا يفكرني تعبانة\nمع اني منتبهة لنمط الأكل والرياضة!	valence	0.375
2018-Ar-04308	دول ربنا هاينتقم منهم شر انتقام تجار	valence	0.109
2018-Ar-01586	مجرد انك تصحى وتحس ماوراك شيء أسبوع كامل شعور مريح مرره تحس بحريه وطمأنينه ☹ 💛 💛	valence	0.703
2018-Ar-03785	بسكوتي الحلوة بقت طعمةة ولهاا سحر جديد ليهاا خفةة دم بترووح لبعيد بصي انا بحبك والله ابت اختي الكبيرةة القمر 😍 🙈 😎 #هدية_ايموو	valence	0.919
2018-Ar-02458	اغاني راشد الماجد تغير مزاجي على هالصبح بشكل مو طبيعي 😍	valence	0.703
2018-Ar-01646	لو السعادة انسان، مين سعادتك؟🤔🤔	valence	0.583
2018-Ar-03956	@urhshis بس لازم نعلمه ان انتي الي طلعتي التاق مو على كيفه ينسبه لجمهوره كل الجماهير شاركت😡	valence	0.453
2018-Ar-02252	بما ان النهارده كانت اخر ماده وحليت كويس وفرحانه وكدا فأنا محتاجه حد يكمل فرحتي وياخدني يعزمني ع الفطار 💃👏	valence	0.719
2018-Ar-00365	قداش ما تويتر أصبح مكان مزعج ويجيب التوتر بدل ما كان مريح ويغير جو البنادم 😒	valence	0.281
2018-Ar-00169	@KSA @LuayPrince هه هه بطلوا دراما جيبوا دليل يثبت برائتها اصلن الفديوا مدينها كيف تقول مذعوره وتقول بتوب على يدك حمير عندك امك احنا؟؟	valence	0.375
2018-Ar-00620	قد تصيبك الكآبة والحزن لأن من تحبه مصاب بها "))	valence	0.328
2018-Ar-02875	وحسدنى البشر ع اى وانا بدونك واى الدنيا سو عيوب سوا #حضنك 😍 فى وقت الخوف 😰	valence	0.516
2018-Ar-03349	أن الشيطان حريص على تحزين وتخويف الإنسان حتى في المنام ولذلك جاءت التوجيهات النبوية بالتحرز من الشيطان بالمعوذات لا إله إلا الله 🌿	valence	0.453
2018-Ar-02938	ورغم علمى أنه خير ولكنى حزين يا الله و وحيد ليس لقله من حولى ولكن لفقدان من يشعر بما أشعر فأنا هنا فى قاع خوفى وحدى أخبرك أنى أثق بك فأحمينى	valence	0.359
2018-Ar-00121	@trust_21 @hlatebrohe احب الي يتكلم عن تجاربه لانه يشجع الاخر على هالمغامرة مش الي ينقل وبس فاشكرا لك ابرار	valence	0.516
2018-Ar-01950	انا حزينه كيف لي بخيبة الامل اللي جاته لا جوهره ويدخل برايم وكان بيودع بعد ربي حماه الحمدلله ):	valence	0.219
2018-Ar-03573	#تسريب_سفير_الإمارات\nليست تسريبات بل هي مواقف معلنة و مشرفة من #الامارات ترفع الرأس و الامارات ليست من الخونة الذين يقولون عكس مايفعلون🇦🇪	valence	0.563
2018-Ar-02214	إيه لا لا لا...😉😉 الفرح حيبوظ على وحدة ماتت ولا إيه😂😂🙊🙉🙈🙈😂😂 #أكرم_حسني ❤ #الحب #خفة_دم   🙈🙉💚💚😂\n#ريح_المدام	valence	0.672
2018-Ar-00481	اول مرة حطيت مكياج بعرس خالي امي الحنونة مكيجتني بأيديها الحلوين الله على لمسات أيدين امي الحنونة لمسات حب و حنان❤️	valence	0.719
2018-Ar-04260	أحسست بالسعادة حين حققت حلم الطفولة و تعلمت بنفسي قيادة الدراجة 🚴 🏻 و تتجدد سعادتي كلما مارست هذه الهواية #سعادة	valence	0.887
2018-Ar-00643	@ahmedne12 لو جبت 26/30 هبقي فرحان فشخ	valence	0.719
2018-Ar-00800	حب الخير يجلب السعادة من حيث لا تدري ولو كان في ابسط الامور اقلها الإبتسامه ^_^ ستجد نفسك سعيد مسرور بذلك	valence	0.781
2018-Ar-03082	فول تعب عقب التمرين بس احلي شعور #خميس #ويكند #قطر #رياضة #الحمدالله	valence	0.560
2018-Ar-03659	حلقي راسي رجولي ركبتي فقدت الاحساس فيهم يعني اوكي مجربه بيت رعب بباريس وبدبي ومت خوف بس حقت اليوم تفوز هذا وانا كنت مستهينه فيها اهه 😭 😭	valence	0.375
2018-Ar-02800	ربي ارح فكر ابي وابعد عنه الهم والحزن وأسعده سعادة تبكي عينه منها ربي بشر ابي بخبر قريب يسعد قلبه وحقق احلامه وما هو شاغل فكره 💤 💗	valence	0.597
2018-Ar-00788	حديثك : يحيي فيني إحساسا يفوق حد السعادة ذاتها	valence	0.781
2018-Ar-00870	#قلق\nحاسس انى قلقان من الأسبوع الجاى ده\nوحاسس بصداع مفرتكنى\nومش عايز اروح امتحان بكره\nوكوكتيل اكتئاب انما ايه	valence	0.097
2018-Ar-03697	الصفقات الكثيره ترى مو ضروري مفيده !\n\nكل خوفي يتحول ميلان الى انتر اخر\n\nبس ان شاءالله يطلع عكس	valence	0.547
2018-Ar-03303	تذكرون المدريدين يوم كانوا متوقعين نخسر من فاريال وصدمناهم في هالمستوى نفس الشي بيصير معنا اذا هم لعبوا ضد اشبيليه الاسبوع الجاي :( #متشائم	valence	0.422
2018-Ar-02337	اللهم يا حي يا قيوم جمل يومي بخبر جميل يثلج صدري و يبهج قلبي و فرحة لم أحسب لها حساب	valence	0.688
2018-Ar-01076	ياخي خاف ربك لا تخوفنا	valence	0.375
2018-Ar-04114	#سعيد_الرميثي_يمثلني \n\nنعم تمثلنا يا ولد داري گفو خويه بوشيخه \nكلنا نفتخر فيك ماعليك منهم طلع لمتخبي ههه  .. 🌷✨	valence	0.871
2018-Ar-01890	العيد الذي يأتي في حجم بهجة الأطفال هو العيد اللذيذ الذي يفتقده الكبار لأنهم غالبا بلا بهجة	valence	0.531
2018-Ar-02012	كل الشكر للاتحاد الى طلع عينه فعلا كل الشكر للدفعة عشان طلعوا حلوين بجد كل الشكر للناس الحلوة الى خلت اليوم مبهج وخلتنا مبسوطين اوى 💜 💙	valence	0.766
2018-Ar-01845	أين المسئول الذي ينزل للشارع ليسمع معاناة المجتمع والناس	valence	0.344
2018-Ar-03615	حكمة اليوم :\n\nعليك بصحبة الفاسد\n\nعند المصيبه تجده يبحث عن ألف حل 😄\n\nأما العاقل فـ يقول لك\n\nياما نصحتك من قبل ، لكن الحمار حمار	valence	0.484
2018-Ar-01844	النهارده كنت قاعد في البيت مرعوب من صوت جمهور الدرجة الثانية	valence	0.375
2018-Ar-02163	الشي الأحلى ان الفيلم مبني على قصة حقيقية عرفني على مرض أول مره أعرفه و كنت اتوقعه نفسي لكنه عضوي و أعراضه جد مرعبه 💔 💔	valence	0.516
2018-Ar-00726	متنرفزه وزعلانه من شخص عشان حركاته الغبيه واليوم حلمت فيه وكان لطيف وزي العسل صحيت وانا راضيه عليه وحبي له تجدد 💕 💕	valence	0.375
2018-Ar-02077	#إغضب😡 فإن الله لا يرضى الهوان لأمة كانت ورب الناس خير العالمين 😠\n#لأجل_الأقصى..\n#البوابات_لا\n#سواعد_فلسطين \n#فريق_نبض_الوطن	valence	0.203
2018-Ar-03186	شكرا والله ماقصرتو مفاجئة فخمة ومرتبة وتكفي فرحة محمدوعبدالله فيها 👬 😭 😍 ❤️❤️ #ضيف_التوينز2 #احتفالية_التوينز	valence	0.806
2018-Ar-01000	#بشوفگ حته #من_الجنه بشوفگ #ضحكه_وسط_دموع😍        \nكأنگ بنتي من ضلعي وحبگ #عشق_مش_ممنوع ✋💓.\n#TU	valence	0.813
2018-Ar-01902	#احنا_ما_نتبع_البنت_يوم_زواجها احضر وافرح مافي اغلى من اختي صح لحظه فراق موجعه لمن تطلع اختك من البيت يوم زفافها اتمنى يكون اجمل زفاف ❤	valence	0.516
2018-Ar-00379	وانت طيب وبخير يا حبي وبعوده علينا وعليكم الأيام بخير وسعاده يارب	valence	0.890
2018-Ar-00422	الي صان الارض يسلم 😃	valence	0.688
2018-Ar-01464	الإعلان جميل جداا بجد😍كل شويه اعيد فيه و اتفرج عليه😍😍\nالبرنس ❤💪 ربنا معاك يااآرب يا احسن برنس💖و ربنا يشفي كل مريض💔\n@ahelmy \n#ماس_احمد\n#حلمي	valence	0.733
2018-Ar-00745	أنت قلت شيء وبديت هالمصخره ، تحمل كل نقد لاذع يجيك، وأنا رأيت نقده بناء، لكن وش نرجوا من ناس مايهمها الا التفاهات ..	valence	0.250
2018-Ar-03694	@tahan82394918 خلاص عاد انا اعتذرت وانتي اقبلي اعتذاري اممممم لازم تخلي العالم تشوف ايش قلت تغريدة ومسحتها	valence	0.453
2018-Ar-02631	يارب العوض اللي يرضينا عن كل لحظه ألم خيبه خوف استسلام	valence	0.500
2018-Ar-02727	والله مستوى اليونايتد مثير للشفقة هذا مو فريق كرة قدم	valence	0.344
2018-Ar-02152	- تتوهمين فلن تستطيعين البقاء إلى جانبي مدة يومين أنا رخو أزحف على الأرض انطوائي كئيب متذمر - وإن كنت مجرد جثة في العالم فأنا أحبك	valence	0.403
2018-Ar-01088	#فرحه_قلبك_تتمثل_في فرحة حد بحبه اكيد	valence	0.694
2018-Ar-03921	شخصين طلبوا منك تواعدينهم شخص مثقف وبارد جدا بس حلو مره والثاني يضحك مره وشخصيتة مرحة ومحبوبة بس مو حلو مين تختارين 🌸	valence	0.563
2018-Ar-03429	اللي حابب يتشتم ويتسبله الدين ويتمرمط ويتذل يجي #خاص .. موجود لمدة ساعه لكل نجس عايز يتمتع ✋\n\n#ريتويت يابن المتناكه منك ليه 😠	valence	0.203
2018-Ar-00576	لما تشتاق لشخص ميت هو الموت الاساسي تحس انك جسد بدون روح هو الذبول والوجع الي ما تحس فيه ولا تقدر توقف.	valence	0.297
2018-Ar-00095	لابد من  رفع لافتت الحداد  على الكلبة سويلينا التي فارقة الحياة اليوم ..\nشويه لواكه المارك مؤسس الفيس بوك	valence	0.266
2018-Ar-01318	#مناره_الحدباء هذا العمل يدل ان لا ثورة عشائر كانت ولاشي وهذا التهديم وصمت عار بجبين من ادخل داعش وصفق له يذكره التاريخ للحشر والله #جبناء	valence	0.359
2018-Ar-02314	@mahaelfiky48 @toqa_yasserr انتي ما بتحبيش الشوكولاته يا مها هانم مش كل ما اطلب حاجه تطلبيها 😠😠😠 سيبني استمتع مره من نفسي	valence	0.500
2018-Ar-01369	@Mayar05420154 @moniaah__ يابنتى انتى المفروض تحتفلي بيا وتفرحيني وتعمليلي مفاجأة ده انا عيدميلادى قرب خالص وانتى عارفة انى مكتئبة 💔	valence	0.548
2018-Ar-01678	ان التفاؤل هو الايمان الذي يقود الى النجاح ولا شيء يمكن تحقيقه بدون الامل و الثقة هيلن كيلر l2o	valence	0.734
2018-Ar-04178	#ظريف يزور #موسكو الجمعة المقبل ومصدر دبلوماسي روسي يؤكد زيارة وليد #المعلم في اليوم نفسه	valence	0.625
2018-Ar-02115	#قلبي_ب_قول انو تعب من اشخاص نحنا فوتناهن بحياتنا وما كانو بيستاهلو	valence	0.300
