ID	Tweet	Affect Dimension	Intensity Score
2018-Ar-02243	ودي ادق عليك وأقول : وين أنت\nودي أحاكيك عن سوالف جديده \n\nلكن كل م تذكرت هالبعد هونت ! \nيمكن فـ: بعدي حياتـه #سعيده	joy	0.419
2018-Ar-00252	الفرح قناعة داخلية اذا ودك تفرح راح تفرح وتكون سعيد والعكس صحيح	joy	0.547
2018-Ar-03442	- عيد سعيد ياا اجمل اعيادي ☺❤	joy	0.694
2018-Ar-00308	عيدك مبارك والسعد فالك وتبقى راس مال يا صاحب ماتكمل الاعياد لين اعايده	joy	0.609
2018-Ar-02484	انا ابي واحد حزين واخليه سعيد :) &lt; ياخي احنا البنات حتى في الحب نبي دراما ودموع	joy	0.242
2018-Ar-02252	بما ان النهارده كانت اخر ماده وحليت كويس وفرحانه وكدا فأنا محتاجه حد يكمل فرحتي وياخدني يعزمني ع الفطار 💃👏	joy	0.750
2018-Ar-01074	دايما الشب يلي بكون هادي قدام الناس هو الي بكون رئيس العصابة مع صحابه 😜😛\n#بهجت_الاباصيري\n#مرسي_الزناتي	joy	0.323
2018-Ar-02962	مع هالمساء فرحة سعادة بسمة عافية يجعلها ربنا عني وعنكم ما تغيب ✍ 🏻	joy	0.734
2018-Ar-03055	الشعور المتبادل بين قلبين بتحسه لما تحس ان فيه حاجة مغطياك او حضناك كدة 💔	joy	0.500
2018-Ar-00976	عيد سعيد جميعا كل سنة وإنتو طيبين يارب أتمنى لكم عيد مليء بالأفراح مع اللي تحبوهم ولا مانع من العيديات والشوكلاتات والمفآجات 😍 🎈 🎁	joy	0.719
2018-Ar-01131	يا صدقه اللي يقول الحب من ربي حبك بليا سبب ربي بلاني به #ساره_ناصر #حب #قطر #السعودية #الكويت #البحرين #الامارات #عمان #سعادة #فولو #لايك	joy	0.375
2018-Ar-00085	@anas_khaldi عفكرة همه اجو عالأردن قبل هيك .. و الهدف من الحفلة انهم يغنوا مش جايين بقنعوا بالناس	joy	0.234
2018-Ar-01412	ودي تحضنيني بالحكي ودي لو تجين وتقولين اشتقتلك ودي وودي منك كثير بس وينك	joy	0.403
2018-Ar-01639	#ساعه_استجابه يارب اجعلني راضي بنصيبي في كل شيء في حزني وسعادتي وامنحني طمأنينة تجعلني ارضى بأقدار كتبتها لي 💜 ✨	joy	0.406
2018-Ar-04159	وأعشقُ الصبحَ اذا تسري نسائمهُ\nتعيدُ في كل روحٍ .. بسمة الأملِ\n.\nلنآ مع الصبحُ .. أمالٌ نرجيهآ\nونسألُ اللهِ فيهِ صالحَ العملِ\n.\nصباح الخير💭💜	joy	0.641
2018-Ar-02953	#السعادة 🌸 لا تحتاج إلى معجزات 🎶 كل ما تحتاجه #قلب متسامح 😍 وجه #مبتسم 😝 #قناعة_بالنصيب ❤ و ثقة تامة بالله 💜 #شيكو	joy	0.766
2018-Ar-01346	#بهجة_أمل ٧٤ الحمدلله على شعور السكينة و السلام اللي بحس فيهم *فيس مغمض عيونه في حالة استرخاء و هدوء نفسي* :) 🌼 💛 🌼 💛 🌼 💛	joy	0.766
2018-Ar-01497	اكتر شي عجبني باخر حلقة ان كان فيها معدل عالي نسبيا من التشويق و الترقب و هيدا غريب نوعا ما على مسلسل هزلي كوميدي	joy	0.406
2018-Ar-02653	@01VDD عيدي مع اهلك او حتى لحالك البسي وتكشخي وافرحي واشتري شكولاطات 😕❤❤ عييييدد ترا	joy	0.594
2018-Ar-00661	الحاجة الوحيدة ال متأكد منها اني مش هنفع ف الكلية دي بس قررت اكمل فيها من باب الاثارة و التشويق	joy	0.258
2018-Ar-01750	في بنت خالي عزيزة عليا كتير بشهر جويليا زفافها الله يخليها لزوجها و يرزقهم الاولاد الصالحين	joy	0.500
2018-Ar-00676	@Juzaf_gobelz .\n\n" انا كنت اسمعهم بالافلام المصرية يقولون :\n.\n ( وشك يقطع الخميره من البيت) \n.\nالحين عرفت معناها" 😘	joy	0.172
2018-Ar-03295	شكرا لك على هذا الشرح الممتع والمعلومات الوافيه سعيده جدا انها كانت من نصيب الدكتور محمد أسلوبه الروائي لايمكن للذاكره تجاوزه	joy	0.656
2018-Ar-03898	سميعة فادي إبراهيم مجرد ما بيسمعوا البرنامج بيكون عندهم طاقة سعادة و انشكاح غير طبيعية وربنا 😂 😂 💃 💃 #الليله_عند_بيومي_فؤاد	joy	0.629
2018-Ar-01902	#احنا_ما_نتبع_البنت_يوم_زواجها احضر وافرح مافي اغلى من اختي صح لحظه فراق موجعه لمن تطلع اختك من البيت يوم زفافها اتمنى يكون اجمل زفاف ❤	joy	0.453
2018-Ar-04382	@ZaroutaYoucef هدا يعني اخي الكريم انه يحق لك الاكل و التمتع بقليل من الدلاع و الخبز شهية طيبة 👌🍰🍪🍔🍮🍭🍹🍎🍉🍉🍞	joy	0.297
2018-Ar-03471	والله حنا شعب عظيم خفة الدم موجودة بكل أفراد المجتمع حتى المشايخ  😂❤	joy	0.641
2018-Ar-02614	السلام عليكم صباح الخير سعادة الدكتور عبداللة اشكركم على جهودكم لتوعيتنا واهتمامكم فينا كابناكم #فرحتي_بنجاحي	joy	0.662
2018-Ar-00791	#الطايف_الان\nريحة #مطر و لفحَہ هوا و لون الغيمّ  والمطر 💦\nو آشياء مَا عنهَا غنىّ ، و ياللہ حيّہ هالمساء 💕☁	joy	0.438
2018-Ar-00231	احلي بودي في الدنياا والله❤❤ كل سنه وانت طيب يا قلبي وسنه سعيده عليك يا رب وتحقق كل الي بتتمناه 💝 💝	joy	0.688
2018-Ar-01974	هو اللى بيغيرلى مودى دايما 🙈 بيدينى جرعة تفاؤل وانشكاح للحياة 😊 💙 انا مش عارفه من غيره كنت هعيش ازاى 👀 💔 تويتة في عشق #البطيخ 😍 🍉	joy	0.609
2018-Ar-00254	ترتعد يبكي قلبك بحرقه كلما تذكرت من أحببته وابكاك ثم تسعى جاهدا لتنسى لكنك تتذكر وتزداد حزنا لا تحزن عيناك حلم آخر سيجد الطريق إليك	joy	0.156
2018-Ar-01678	ان التفاؤل هو الايمان الذي يقود الى النجاح ولا شيء يمكن تحقيقه بدون الامل و الثقة هيلن كيلر l2o	joy	0.484
2018-Ar-01077	هه هذا بداية الفشل انك تلزم الشعب حتى داخل بيتو ولا الفندق والله مراسيم مضحكة لدولة عريقة	joy	0.194
2018-Ar-03980	اللهم الفرح والإبتسامة الأبديه	joy	0.516
2018-Ar-03117	خلك كتّوم واخفي همك بضحكة\nالله عٓطى، والله اخذ والله كريم..\n#قروب_المغرد_العماني \n#قروب_سما_عمان \n#نخبة_مغردي_عُمان	joy	0.359
2018-Ar-01088	#فرحه_قلبك_تتمثل_في فرحة حد بحبه اكيد	joy	0.694
2018-Ar-01847	@234_aadd مساك #سعادة  ي مصدرها ربي يسعدك 🌹😍	joy	0.594
2018-Ar-01566	متل ما اجا #مطر💦 بنص #الصيف🌼 رح تجي #فرحة😍 بنص #الوجع💔 #يارب🙈❤	joy	0.484
2018-Ar-03612	افرح بالقليل واشكر الله عليه ومايزدري نعم الله الا جاحد لانظن ان اهل الكثير اكثر سعادة منك بل انت اسعد منهم ببساطة نفسك وتألق افكارك ومنطقك	joy	0.539
2018-Ar-01300	قصة حب #بهجت و # منيره 😂 😂 #ريح_المدام	joy	0.469
2018-Ar-01682	محبرة النصر بتدوين كلمات دروس بتكتب بخلود رواح محبين محبة للعز بتجذب ارضالمشرق ما بتلين للوحش حتى يهرب بتصدوما بتستكينتتضرب #واشرق_النصر	joy	0.340
2018-Ar-03186	شكرا والله ماقصرتو مفاجئة فخمة ومرتبة وتكفي فرحة محمدوعبدالله فيها 👬 😭 😍 ❤️❤️ #ضيف_التوينز2 #احتفالية_التوينز	joy	0.703
2018-Ar-02190	فيه صداقه تغني عن حب صدقوني #شوق	joy	0.328
2018-Ar-02321	قبل العيد كنت اتمرن ساعتن يومياً قطعت اسبوعين رجعت لحين يدوب تمرنت ٢٠ دقيقه ماعاد فيه لياقه 😊	joy	0.266
2018-Ar-01841	انا بالضبط دخلت طب واتخرجت اكرم حسني 😂😂#بهجت #ريح_المدام	joy	0.313
2018-Ar-03440	شعور الانتصار ✌ 🏼 ️ 💪 🏼	joy	0.688
2018-Ar-03300	#فرحتي_بنجاحي الحمد الله بشرني بنتيجه فرحة قلبي وشفتني دهرآ الم الدراسه لحظه وتنتهي لكن اهمالها وتركها الم يستمر مدى الحياة 😍	joy	0.828
2018-Ar-02033	#بهجت_الساعاتي\nمثال الصاحب الي لو مسمعتش كلامه هتروح في داهيه😓\nولو سمعت كلامه هتروح في ستين داهيه 😂😂\n@AkramHosny \n#ريح_المدام	joy	0.281
2018-Ar-01898	النقاش مع شخص تحبه وتثق فيه مفيد جدا في تخفيف التوتر والاكتئاب ويمنحك ثقة كبيرة في نفسك #اخر_رحلتين_دوليه_لك	joy	0.328
2018-Ar-03164	من نجاح الى نجاح ياساره انت فخر لنا جميعا للاسف الاغلب مشغول #بنت_ترامب وتمجيدها مو فاضي لبنت بلده وإنجازاتها #ساره_بنت_احمد_الربيعه	joy	0.484
2018-Ar-03608	اللهم صاحب جدع زى #بهجت الساعاتى الى فى حياة #سلطان الى هو معاك دايس ف أى مصيبه المهم يبقي معاك😍 #ريح_المدام #اكرم_حسني #أحمد_فهمي 👬👫	joy	0.359
2018-Ar-02199	واللي كلامهم زي المطر يسقينا\nوينبت فينا من كلامهم ورد !\nكيف نجازيهم ياربي ؟💕	joy	0.484
2018-Ar-03049	#الغاليه_تستاهل من له قلب كبير يحمل كل الحب مثل قلبك من له حضن حنون واسع مثل حضنك من لديه لوحة باسمة الطلة مثل وجهك (أمي الغالية)❤	joy	0.672
2018-Ar-01220	واخد الدوري بدري وراايق وغيري تعبان و مضايق 😎 💪 -- أحتفل بالانتصار	joy	0.597
2018-Ar-00574	و انا راجعة لقيت الازالة موجودة و بتشيل كل القعدات و الكلام ده و الشارع فضى و حاسة ان الدنيا مش سيبالي اي خرم ابتهاج بجد	joy	0.258
2018-Ar-01417	سعيد 🙈 😻 ربنا يسعدك دايما بالخير 🙋 ❤ وينور قلبك بالفرح والسعاده يارب دايما 💕 🍫	joy	0.688
2018-Ar-00598	انا منشكحه انشكاح حلو قدن والله وبفكر اللي التايم 😂 😂 💃 💃	joy	0.781
2018-Ar-04351	@Souhair_Alqaisi تستاهلي\n كل خير يا #فخرنااا💕💕\nوان شاء الله كل أيامك #سعادة وتنوري وتشرفي وين مابتكوني\n⚘⚘🌙	joy	0.672
2018-Ar-00345	السليماني : فخور بتأهلي لنهائيات كأس العالم لألعاب القوى بكينيا واتطلع لتحقيق مركز متقدم #سلطنة_عمان #أخبار #رياضة	joy	0.403
2018-Ar-02011	#مطر😍\nده مطر بجد مش معقول😍😍\nاول مرة اشوف الجو بيمطر فى رمضان❤❤\nدعواتكم ربنا يسترها معانا\n و يرزقنا بالخير 😊👐	joy	0.609
2018-Ar-04323	#خفيف_لطيف انشاء الله دا اليوم يكون عليكم خفيف لطيف 🙏 🏽	joy	0.406
2018-Ar-03051	@_A#retk_Q8  هلا صبااحك اسعد □	joy	0.484
2018-Ar-00052	@NOOO_NO_NO مااقدر اسهى عنه \nبالفرح احس بغصه لأنه مو معنا	joy	0.219
2018-Ar-03162	ما هذا الجنوون يالكافالييرز متعة إثارة إنتفاضة #NBAFinals	joy	0.328
2018-Ar-00479	ربي اجعل امي سعيدة الدارين قريرة العينين لا تشكي هم ولا حزن ولا مرض واحفظها لي فهي لي الدنيا بأكملها❤️ 😴	joy	0.563
2018-Ar-01971	🐌:احلي اماني ف الدنيا❤\nطيبة جداً ومبهجة كدا محبوبة اوي وجدعة ومحترمه وانا حبيتك والله ي حلوة💙	joy	0.758
2018-Ar-03322	يشبه شي كنت استخدمه، المهم انبسطي وقضي اوقات ممتعة، انا انبسطت معاك في سناباتك، شكرًا💙	joy	0.594
2018-Ar-03695	ماشاء الله شغل جميل ونظيف الله يكتب اجرك يا صالح واجر الي معاك تعب.\n#اسعد_غيرك	joy	0.594
2018-Ar-01957	@jun_queeen حلو التفاؤل دا	joy	0.375
2018-Ar-04132	وعيدك سعادة وبهجة وسرور ياالجنوبي الأصيل	joy	0.656
2018-Ar-01037	مساء الشوق يارايق يابسمة كل متضايق مساء بشخصكم لايق لأحلى وأغلى الخلايق مساء الخير 💮 💮	joy	0.563
2018-Ar-00309	صباح الأشياء الصغيرة التي تبدأ بها يومك دعاء كوب قهوة عطر مفضل واغنيه جميله في وسط الزحام - يشعر بالتفاؤل	joy	0.516
2018-Ar-01065	احس بسعادة موب طبيعيه لما قلت لناسس الحلوه اللطيفه اللي بحياتي شعوري تجاههم❤️❤️❤️.	joy	0.859
2018-Ar-02899	@Emy_adel_Fayad مبهجه جدا والله بعيد عن انك اكتر حد هيوحشنى طبعا ❤❤	joy	0.875
2018-Ar-03588	هوا أنا مبسوط بس مش عارف ليه؟ بس المهم إنى مبسوط وخلاص مش لازم أسال يعنى.	joy	0.828
2018-Ar-02975	قد لا نعلم حجم الفرح الذي يسكننا حتى يأتي من يبعثه فينا ليبدو على قسماتنا متهللا ~	joy	0.500
2018-Ar-02447	الرسوم المتحركة إنتاجها جدا لطيف وفيه ذكاء 🌿 😊 🌿 🌿 💐 🌿	joy	0.419
2018-Ar-02878	#سعادة الانسان هي الشكر و الصبر و الاستغفار "أسأل الله أن يسعد قلبي وقلوبكم بما تتمنون❤	joy	0.656
2018-Ar-04280	ما بين الحب والكره فى 200 احساس لا هما حب ولا هما كره #أفراح_القبه	joy	0.266
2018-Ar-02754	معاك أعيش الفرحة بدون حدود \nوأحبك حب أكبر من مدى سنينك💕💕	joy	0.922
2018-Ar-02145	أنتي مجموعة #سعادة في "قلب إنسان" 💜 😍 😘 بإنتظار اللقاء الملكي ع #نار 😭	joy	0.758
2018-Ar-00341	#ميلاد_الدعاء15 من رحمة الله بالعباد أن يوفق الله بعضهم أن يدعوا ))لبعض #ميلاد_الدعاء15	joy	0.355
2018-Ar-01235	@Bisha_star أبشرك صار التقويم على السبورة عليه درجات 😀	joy	0.317
2018-Ar-03806	صباحكم سعادة ودفى ورضا وطمأنينة من الله ❤	joy	0.875
2018-Ar-02835	العيد فرحة نحنا لينا بالأعياد كل من له عيد نبتهج معاه بس بهجة الكرسمس وشم النسيم لايعلا عليهم 😂 😂	joy	0.734
2018-Ar-01199	بعض الصديقات سعادة أحاديثهم بهجه وفرح لقلوبنآ 🎈 💭 اجعلنا ي الله في نعيم الجنة نلتقي لا هم تحمل قلوبنآ وتحتوينا السعادة دائما 💛	joy	0.813
2018-Ar-02015	و احلف لك إني كل ما سمعت اسمك ابتسم وأشتاق وأحبك	joy	0.563
2018-Ar-02090	ل كل شخص لطيف مر بحياتي كل عام وانت بخير كل عام والفرحه تغمرك وابتسامتك الجميله م يعكرها حزن ✨ 🎈 #عساكم_من_عوادة	joy	0.719
2018-Ar-00712	@mo7mdbassam انا اعتقد لو تشوف منظر الدار حتقول كلمة مزبلة قليله 😅\nلا عرفت عمين تركن 💃😇🙈	joy	0.250
2018-Ar-01033	كوني كما تكوني دائما عفوية مرحة شقية طائشه محبة للحياة متأنقة ذكية قوية لا شيء يهزمك كوني أقوى مما يظن الجميع وأقوى مما تظننين 👌 #فرحه 💖	joy	0.500
2018-Ar-01093	ساره أسألي ظافر النهاية راح تكون سعيده او لا #حلاوة_الدنيا #تفاعلكم	joy	0.391
2018-Ar-01296	#اسعد_غيرك3 تأمل قولهﷻ﴿من جاء بالحسنة فله عشر أمثالها ومن جاء بالسيئة فلا يجزى إلا مثلها وهم لايظلمون﴾ زيدوا حسناتكم	joy	0.469
2018-Ar-04114	#سعيد_الرميثي_يمثلني \n\nنعم تمثلنا يا ولد داري گفو خويه بوشيخه \nكلنا نفتخر فيك ماعليك منهم طلع لمتخبي ههه  .. 🌷✨	joy	0.500
2018-Ar-00332	من #أجمل_الأيام التي تستحق شكرالله حينما تغرس أملا او #فرحة ننتظرها او حبيبا يتفوق او ولدا يتخرج او ابنتا تتزوج أومسافرا يعود او قريبا يشفى	joy	0.625
2018-Ar-01113	17 | رمضان 🌙 ✨ ؛ يا الله دهشة جميلة ؛ فرحة بلا إنتظار راحة بال من حيث لا ندري و لا نحتسب	joy	0.672
2018-Ar-00217	@chelsawe_10 @Atheer_CR7 ي الله انك تجعله من نصيبي ابغى افرح 😊	joy	0.422
2018-Ar-01890	العيد الذي يأتي في حجم بهجة الأطفال هو العيد اللذيذ الذي يفتقده الكبار لأنهم غالبا بلا بهجة	joy	0.484
2018-Ar-03902	: صباحكم عيد سعيد وأمنيات محققه من الله ولمه عائليه لا تفترق أبدا صباحكم صوت تكبيرات صلاة العيد وبهجة وفرح تملئ مباسمكم "	joy	0.719
2018-Ar-02688	لدي تفاؤل بقووة بعد تولي فهد بن خالد الأهلي راح يغرد بكم تغريدة ترد الروح ( الله ينفع به ) الدعوة التي كان سر توفيقه في صفقاته #الملكي	joy	0.581
2018-Ar-01176	@sjalmulla شفته قبل اسبوع ومتشوقه عليه وايد الصراحه 😍😍😍 بالتوفيق يارب ❤️	joy	0.578
2018-Ar-01321	#اسعد_امك_بسهم\nتصدق بنية ما تريد\nالوقف موجود اليوم بكرا مو موجود\nالوقف هذا لك بالدنيا والاخرة\nوالي خايف ان الوقف كذب\nالوقف كان بقناة بداية..	joy	0.375
2018-Ar-01749	@taherabed2 قرات الخيميائي وشيفرة دافنشي جبتها من وقت قريب 😀\nبس الجحيم مين الكاتب؟\nوشكرا🌸🌸	joy	0.258
2018-Ar-04079	وحين يتعلق الأمر بحلمك كن أصما تماما و لا تفتح مجالك السمعي لأصوات ضحكاتهم الساخرة حتى تكون أنت من يبتسم فالنهاية 👌 🏿	joy	0.391
2018-Ar-00495	ضع قدمك علي اول طريقك للنجاح وعيناك عند اخره - يشعر بالحماسة	joy	0.281
2018-Ar-02579	الاختبارات قبل رمضان اقسم بالله فرحان لأخواني الطلاب 😍 😍	joy	0.797
2018-Ar-00800	حب الخير يجلب السعادة من حيث لا تدري ولو كان في ابسط الامور اقلها الإبتسامه ^_^ ستجد نفسك سعيد مسرور بذلك	joy	0.613
2018-Ar-01895	@Mayadalt بالضبط 👌🏻، ويشجع القارئ على البحث أكثر والتّفكُر. \nشكرا لمشاركتگ هذه المقاله🌸	joy	0.281
2018-Ar-02355	#ترفيه_الطيبين جدو سرحان من مسلسل بابا فرحان	joy	0.469
2018-Ar-03474	#شور_بيت18 اللهم قوة ثم راحة بال ثم إستجابة لأدعية نتمناها كثيرا	joy	0.371
2018-Ar-02576	الحماس كله مدريدي... بس القلب شوي شوي يقول بوفون بيستاهل 💙\n#هلا_مدريد	joy	0.406
2018-Ar-01960	#الفرحه_انك تكون مذاكر جزء من المنهج وتلاقى الامتحان جاى فى الجزء ده بس ..	joy	0.629
2018-Ar-03622	فوز اكثر من رائع لنسور سوريا ضد الأوزبكي العنيد فوز بشجاعة لاعبين و قوة قلب مبروك #فرحة شعب 🇸🇾	joy	0.710
2018-Ar-03199	💔 💔 يارب اجمعهم في جنات النعيم بلا حزن ولا فراق	joy	0.391
2018-Ar-01429	جواي طاقه كبيره وانبساط كبييير كتير\nشو اعمل مشان افرغ هالطااقه العاليه هاي !	joy	0.656
2018-Ar-01606	إشتقت لأيام مدرسة #زعبيل وأيام المراهقة😗💃تخرجت 2008 يعني من 9 سنوات😳😟 كنه امس.كان همنا الدرجات بس كبرنا و كبرت همومنا معانا . انا #دراما 😅	joy	0.250
2018-Ar-01027	كل الخوف خوف إلا الخوف من الله #طمأنينة ❤❤	joy	0.371
2018-Ar-01836	@GafnZx 😳\n\nهذا بالحلال يابنت  الحلال👌🏻😀🎉	joy	0.323
2018-Ar-03638	و سمعنى سلام الأسد ملك الغابة 😃\n#حاحا_وتفاحة 😂	joy	0.469
2018-Ar-02476	عش صباحك على أنك شخص سعيد افرح ولا تفكر بالواقع المر اصنع من الصباح بسمة أمل تنسيك كل شيء يوجعك	joy	0.594
2018-Ar-02458	اغاني راشد الماجد تغير مزاجي على هالصبح بشكل مو طبيعي 😍	joy	0.563
2018-Ar-03018	عيدكم مبارك وسعيد نبتهج بالعيد وإن كان في القلب حبيب بعيد او واقع ألمه يزيد فلن يسرق منا سعادة العيد السعيد — feeling festive	joy	0.703
2018-Ar-04041	معاك احس الرضا محتويني ليتني من بدايات عمري عرفتك .	joy	0.641
2018-Ar-03587	ليس هناك طريق للسعادة السعادة هي الطريق #سعادة #اعمل_بحب #لا_تستسلم	joy	0.516
2018-Ar-00198	الطمأنينة الأعمق \nأن الله يعلم مافي الصدور	joy	0.281
2018-Ar-01099	لكل متابعيني الله يروي قلوبكم بالفرح وغيث السعادة ويجعل أرواحكم نقية من الأحزان والهموم ❤️	joy	0.781
2018-Ar-01359	#فرحه_قلبك_تتمثل_في رضا ربنا و حب الناس اللي حواليا و اني ابقي مطمن عليهم و بيهم 🙏	joy	0.594
2018-Ar-02679	عايزنا نرجع زي زمان ..طب وقت تاني عشان زهقانه \n#ريح_المدام \n#بهجت_و_سلطان	joy	0.281
2018-Ar-00100	#على #سبيل #الفرحة #اليوم #عيد #ميلادها\n#عساني #بكل #عيد #ميلاد #معاها 😪💔	joy	0.641
2018-Ar-00031	انا وياك انكتبنا فسطور الراحلين لايرجعنا عتاب ولايرجعنا حنين ولا شوق لذكرياتنا اللي مابين فرح وأنين،انتهينا فدرب الحب وبنفترق سنين	joy	0.203
2018-Ar-02737	السكوت موجع والكلام ماهو إلا زيادة ألم والجرح خذته وشابت به أيامي روضت العمر صبر والسنين طوال والقرار أصعب من دمعة يتيم #أماني_الروح	joy	0.188
2018-Ar-02596	والله م عايز غير كوباية شاي وبوسة حب ورضا بالحال 🌸 💙	joy	0.453
2018-Ar-02465	محادثة بسيطة بمثآبه حضن وشويه كلآم يخلق الراحه مِن الشخص المطلوب .. واحنا بخير 😴❤️..	joy	0.484
2018-Ar-00175	- - دائما شعور الرضا يمنحك سعادة في كل حال • - #مزنة_المحمود #مساء_الخير #رضا #شعور #بوح	joy	0.609
2018-Ar-00792	الفرحه انك تعرف مين الي ليك  #الفرحة_انك	joy	0.625
2018-Ar-03006	بس والله مبسوط جدا بالحفلة وانتو البنات الله يعينكم القلب معاكم والله مدري وين الغلط في حضوركم	joy	0.703
2018-Ar-00311	قال تعالى: قل إن الأمر كله لله #راحة	joy	0.406
2018-Ar-02789	#بسمة_ثغر ابتسم فالحياه قصيره	joy	0.435
2018-Ar-03259	لا يجتمع في القلب نقيضان "القرآن والموسيقى" إن كنت تبحث عن السعادة فستجدها في القرب من الله راجع قلبك❤ #حفله_عبدالمجيد_عبدالله_في_الكويت	joy	0.500
2018-Ar-02599	@loma5657 لووماا المافيوزو كل سنه وانت بخير ورجولتك سابقه اسمك سنه سعيده عليك ياكبير والي ميعرفشي لووما اقسم بالله خسران كتير 💪❤	joy	0.578
2018-Ar-03972	لما تكفي الكهربا وتشتغل يجيني ابتهاج مو طبيعي.. لو معايا مليون وزعتها عليكم 😂	joy	0.750
2018-Ar-01689	اعلان مجدي يعقوب للقلب❤ دنيا سمير غانم واحمد حلمي 😻 بجد ابدعته الاعلان حلو اووي 🙈 بجد ربنا يفرحكم قد ما فرحتونا 🙏 😻	joy	0.774
2018-Ar-00119	#السعادة ليست حلما وليست وهما هي #تفاؤل وحسن ظن بالله وصبر بغير استعجال كن واثقا بأن اليد الممتدة إلى #الله لا تعود فارغة أبدا	joy	0.422
2018-Ar-03792	دا كود شحن ب 60 جونيه بتاع الفرحة  \n\n92261696927170628\n  #فرحتك_قوة	joy	0.453
2018-Ar-00382	لاتنتظرون احد يمطر عليكم فرح اذا م بذلت جهدك ع نفسك صدقني محد راح يجري ورا سعادتك وانبساطك هذا عيدك وهذي حياتك ✨ ❤️	joy	0.323
2018-Ar-01180	#مطر دعيت لك تحت المطر م أشوف بعيونك حزن ❤️	joy	0.453
