ID	Tweet	Affect Dimension	Intensity Score
2018-Ar-03994	أسوأ ما في الإعتذار ارتباك كلماتك أثناء التحدث وأجمل ما فيه شجاعتك على المبادرة وهزيمتك لكبرياء يمنعك من تقديمه	anger	0.339
2018-Ar-03354	حسبي على الي خذاك مني وغير أطباعك 💔 #خيبت_ظني #جرح #عتاب #الم	anger	0.591
2018-Ar-00555	ودي أخالفك في الرأي لكن أخاف أصير أخونجي في نظرك لكن أنا اتفق معك	anger	0.419
2018-Ar-01733	7 ايام بذاكر فيها و من قبل ما الجدول الفاينال ينزل بذاكرها واذاكر 250 ورقه و برزنتيشن و اسلايدات و في الاخر يجي برزنتيشن و اسلايدات 😠😬	anger	0.578
2018-Ar-02235	مؤلم جدآ عندما يقف أمامك أب يشكوا حال أبنه وعيناه تنهمر بالدموع ويقول "عجزت في تربيته فماالعلاج" أيهاالأبناء والبنات أتقوا #الله في والديكم	anger	0.532
2018-Ar-01590	#تعب #حزن #ضيق #وجع #ارهااق #مختنق #صدماات	anger	0.650
2018-Ar-01459	لماذا هي نبرة تهدأه وليست تحدي كعاده #الإخوان المدلسين ببساطه مذعورين لأنه لم يبقى لهم سوى #قطر و #تركيا ويخشون رضوخ قطر لمطالب الخليج	anger	0.500
2018-Ar-00420	#رامز_تحت_الارض تربع على #قمة التفاهة #صراخ وازعاج بلاتوقف #كلمات نابية ألفاظ قذرة وترويع #سخرية وصلت لمقام #الصحابة ما #المتعة في الأمر	anger	0.750
2018-Ar-03592	أنا لست أخشى #الذئب ذئبا انما أخشاه في جلد #الحمل #رعبي #عدو لا أراه أو لا أراه إلا إذا #فات_الأوان #نجيب_سرور	anger	0.272
2018-Ar-00230	مايحرني الا الي قاعد يتكلم عن البيئة ؟ يعني نستهبل ولا شنو انتو شايفين البيئة شلون شكلها قبل لا تتكلمون ؟😹😹😹 #حسد #غيره #عبودكا	anger	0.606
2018-Ar-01318	#مناره_الحدباء هذا العمل يدل ان لا ثورة عشائر كانت ولاشي وهذا التهديم وصمت عار بجبين من ادخل داعش وصفق له يذكره التاريخ للحشر والله #جبناء	anger	0.813
2018-Ar-01844	النهارده كنت قاعد في البيت مرعوب من صوت جمهور الدرجة الثانية	anger	0.333
2018-Ar-02115	#قلبي_ب_قول انو تعب من اشخاص نحنا فوتناهن بحياتنا وما كانو بيستاهلو	anger	0.359
2018-Ar-02334	@ashraaf_alsaad إسلام البحيري كان محبوس بتهمة ازدراء اﻹسلام والعرص الكافر اللي انت بتطبل له أصدر عفو عنه علشان يطلع يكمل طعن في الدين	anger	0.766
2018-Ar-02939	يوووه ي التوتر و اللعب في الاعصاب .. ما بغا يجي الهدف 😪💔	anger	0.652
2018-Ar-02819	نايمه في سلام الله فجأه اسمع صراخ عشان المنتخب قومتني من نومي بفزع كان نفسي اقوم واطفي التلفزيون بس اكتفيت بتهدئه قلبي المرعوب وغمضت عيوني	anger	0.470
2018-Ar-01778	يحدث شجار بين عقلي وقلبي الاول يضحك كيف لفتاة مثلي ستدخل الجامعه والاخر مستانس متقطع من الوناسه لدرجه ودي احطكم بقلبي #ماصدقت أتخرج 😂 😂	anger	0.297
2018-Ar-03244	الناس ميتين جوع في ذمتكم الله لاسامحكم	anger	0.742
2018-Ar-01791	عاجبك الصمت الي بيني وبينك طيب اشتقتلك ب الصمت وشلون تنقال #الصمت #اشتياق	anger	0.406
2018-Ar-01323	حاسس اني ساخط على العالم بس مكسل اعمل حاجه دلوقتي	anger	0.426
2018-Ar-02606	البنت هذي اللي ينام عندها لايحلم انه بينام نومه هنيئة  مره قمت من النوم مرتاعه طيحتني على الارض بسررعه ما امداني  اتوازن	anger	0.288
2018-Ar-04186	@badralotiby1 شفت انكم مدلعين مو وجه دراسة حتى ؟ ما تعرف الفرق بين السخرية والوصف	anger	0.455
2018-Ar-01822	@kit777kat \nلا نص يعني نص 😠	anger	0.391
2018-Ar-01876	احس اني متنرفزة من شخصية وحدة وجالسة احط حري كلو فيها 🤦 🏻 ‍♀️	anger	0.672
2018-Ar-02344	#يلعن ابو ام #الغيرة اللي بتعمل فالواحد كده 😠\nمحنا كنا كويسيين يعني 😂	anger	0.703
2018-Ar-02260	@RisWondering وعدد كبير يقولون عن المعارضين لهالموقف "مستشرفين" ! احسها كلمة وقحة، هل استنكار قلة الأدب والوقاحة صار ادّعاء شرف؟	anger	0.636
2018-Ar-03388	غيظ من فيظ هؤلاء القوم يعيشون حالة انكار فريده من نوعها تصريحاتهم اصبحت مثيره للسخريه حتى على المستوى الدولي	anger	0.766
2018-Ar-03105	لست #حزين 😀 و لست #سعيد 😌 و لست #متفائل 😊 😊 و لست #متشائم 😉 هناك شعور #يخنقني 🤔 🤔 يقف بينه 😒 و لا أستطيع أن #أفهمه 😁 أو #أحتمله 😃	anger	0.210
2018-Ar-00319	اتوقع عندي بس ماشفت احد اشتكى 😪 ثلاث ايام ما اقدر العب مهمه وحدة لازم يلعق واليوم رابع	anger	0.348
2018-Ar-04390	صباح الخير يا فرحة سجين لاعته الاحزان ألي منه ذكر ب أنك حبيبه ضاعت أحزانه :(	anger	0.226
2018-Ar-03719	انت مبتكلمنيش علي الواطس ليه ؟\nيخربيت الطعليم المجاني 😠  \n#احلي_حاجه_في_رمضان2017	anger	0.394
2018-Ar-01915	@DrMoamenElsayed @ElSherif انا عندى احساس مرعب بكده بس لو حصل هيبقى فى حاجات مش منطقيه كتير برده	anger	0.531
2018-Ar-03872	هي أكبر من مجرد مباراة هي إهانة تاريخية لم يسبق لها مثيل لا تلوموا الخصوم إن كرهوا الهلال فقد أذاقهم مرارة الإذلال أنتهت السهرة 😑	anger	0.597
2018-Ar-00894	@sarah_BEN19 اه طبعا ما بصير يكتب هيك كلمات لمذيعه محترمة مثل خديجة بن قنه بس قناة الجزيرة شغل فتنه وتخريب وتحريض 😠	anger	0.774
2018-Ar-00306	كما يتسبب استخدام دبة الصوت او الهيدرز في إزعاج الآخرين في الطريق العام أو الأحياء السكنية أو دور العبادة وغيرها #الداخلية_قطر	anger	0.429
2018-Ar-03992	ياخي اللي بيحكوا بسرعة بصدعوني 🤕واللي بيحكي بطيء بجنني 😤 ! لو بنفع اطخهم ما بقصر !	anger	0.563
2018-Ar-01618	مشكلة ارتجافي دايم انفضح..	anger	0.453
2018-Ar-03459	مخيف هو هذا العالم حرب نار ودخان أينما وليت خوف موت واقتتال و دم تعال نهرب بنا بيعيدا نسرق من الأرض ملجأ نزرعه حب وياسمين #تنهيدة	anger	0.471
2018-Ar-04216	الم يان لاسيادنا الباشوات في الوزارة السيادية ان يتقوا الله في دماء اطفال واجنة ونساء ورجال عبيد احسانهم المصريين الم يان لهم وقف الطغيان	anger	0.803
2018-Ar-03116	@Sami_3w @DhelKhalasa هذا يامريض نفسي او كهربائي ومو محصل زباين  عموماً هم مساجين بشار سابقاً وادواته حالياً قبحهم الله جميعاً	anger	0.703
2018-Ar-02622	مو معناه ماعندي هدف ولكن كل مافي الأمر يكون عندي خيار مسبق وتجي عالأخير هذيك الأفكار الوسواسية: ترى يمكن وأحسن وفيه...ألخ. تشوش صفو اختياري.	anger	0.333
2018-Ar-03340	#رعب #قلق #تساقط #شعر #سهر #تعب #ارهاق	anger	0.516
2018-Ar-02765	-ماذا بك يا صديقي -لا شئ سوى اننى حانق وكاره للعالم بمن فيه	anger	0.578
2018-Ar-03030	كمان 3 دقايق و هشتم المدير بابشع الالفاظ 😡	anger	0.868
2018-Ar-00760	حسرة في قلبي لا توصف للاسف	anger	0.594
2018-Ar-00300	هذه نتيجة الصيام كيف اندحر به والآن ينتقم كذلك الخل يدحره يريد عبادة روح استشاط غضب بشكل لم يسبق له مثيل	anger	0.672
2018-Ar-01423	@iRa3awi لا فعلا محبطه خلصت تكن :(\nمدري ايش اسوي :(	anger	0.470
2018-Ar-00622	تحس ان الموظفين الى ف الشئون دول بياخدوا المرتب عشان يعذبوبنا 😡	anger	0.803
2018-Ar-02952	مشروع تطوير الجزر  اذا تم بهذه الآلية\n(استقلال اداري مالي تشريعي)\nفهذه خيانة عظمى للوطن وقد نفقد الجزر بالمستقبل البعيد عن طريق الإستفتاء	anger	0.594
2018-Ar-02839	العتب ماهو زعل لو يضايقك كثر إنفعالي \nوإنت او أزعل على كل البشر ما أزعل عليك.	anger	0.406
2018-Ar-01767	بعض من الناس هرمونات الحيونة والجحشنة عندها زيادة ما بعرف انو احنا بشهر فضيل..😡\n#رفعت_الجلسة 😏 - يشعر بـنفاذ صبره	anger	0.797
2018-Ar-01610	هو انا ليه حاسة بتخلف عقلي من المادة دي 😟 ولا د جوع دا ولا ايه 🤔🐒	anger	0.203
2018-Ar-00887	المخابرات الحربية بقت وصمة عار وإهانة الدولة ومحاولة هدمها وطولة اللسان والبذائة بقت شرف والله الدنيا ماشية بظهرها	anger	0.662
2018-Ar-02390	@n0_marlb0r0_red صور الفضاء .. انا ماقدرش اشوف جوجل ايرث بيفتح مثلا مسحت الآب ، ممكن اصرخ من الرعب لو شفت صور كواكب 😖 😅	anger	0.227
2018-Ar-00563	كلمة آسف هادي الكلمة من صفات الطيبين ليش ما بتسامحوا ليش إهانة الشخص الي اعتذر منكم احترموا اعتذاره 💔	anger	0.375
2018-Ar-02774	@MubarakAldosari امس الصراحه شرح بالضبط ما عاناه في تلفزيون دولة الكويت .وهذا جزء صغير فما بالك بحقوق موظفين وبدلاتهم #هموم_وزارة_الاعلام	anger	0.452
2018-Ar-00048	@Mwjrdocoe8389 كلزق يارافضي انت عار العراق انتم كلكم دجاج .. لايمكنك اشعال الفتنة بينن دول الخليج والعراق 😡	anger	0.790
2018-Ar-02408	مجتمع #مريض بكلمتين : الناس قالت و الناس تقول	anger	0.531
2018-Ar-01384	احس متوتره مو عارفه اسولف اعتذر	anger	0.438
2018-Ar-00365	قداش ما تويتر أصبح مكان مزعج ويجيب التوتر بدل ما كان مريح ويغير جو البنادم 😒	anger	0.500
2018-Ar-02400	تقارير #شبيغل #الالمانية عن #الموصل موجعة حد الحقد الذي يفوق كل وصف!	anger	0.636
2018-Ar-03488	يضحكني الأنسان الي لما أطلعه من حياتي يحاول يستفزني او يثير غضبي بـالأشخاص الي معاه معليش"تفله تفلتها ماأرجعها لفميّ"وصّل؟.	anger	0.500
2018-Ar-03166	مش بحب انتقم من حد \nبس هو واحد بس نفسى اوى انتقم منو 😠 👊\n\nأبو عواجه 😒 😭..... يا رب تموت يا شيخ 😑😂	anger	0.609
2018-Ar-01418	قبيله حرب والله ان غضبي عليهم غضب الله على بليس	anger	0.781
2018-Ar-02929	#اعتذار_رده_الحارثي_للهلاليين يلعن ابو الرخامه طيب لا تهايط من الاساس عشان ما يندعس عليك	anger	0.719
2018-Ar-03484	أريد لحظة إنفعال لحظة حب لحظة دهشة لحظة إكتشاف لحظة معرفةأريد لحظة تجعل لحياتى معنى إن حياتي من أجل أكل العيش لا معنى لها لأنها مجرد إستمرار	anger	0.297
2018-Ar-04309	هدوء الغاضب بطبيعته مقلق و غضب الهادئ بطبيعته مخيف	anger	0.344
2018-Ar-04083	مش مكتوبلي ارتاح يعني لو ليوم واحد طيب لازم خرا كل يوم كده 😡	anger	0.758
2018-Ar-03468	@fofo9439 @thawwil @Adelaltwaijri علي النعمه ياللي اسمك فهد انت اهبل ومانتش فاهم حاجه ... بس حانقول ايه طالع اهبل على امك	anger	0.766
2018-Ar-03367	#براءه_ساحره_الرياض \nلا يشيخ اسألك ب الله انت ووجهك براءه وين ب العقل هي قالت راح اتوب والهلع الي جاها في الموقف اكبر دليل ع انها ساحره😷🔕🚶	anger	0.531
2018-Ar-00156	توقع كل الاطراف ضد ميسي ولا تستبعد اي شي حتى وان كان باريسي #مرعبهم	anger	0.324
2018-Ar-02804	استياء شديد من الموطنين وغضب حارق بسبب عدم توزيع السيوله في مصارف مناطق الواحات ينذر بحدوث كارثه #كان_الله_في_عون_المحتاجين 😢 😢	anger	0.734
2018-Ar-00078	من المؤسف حقا أن تبحث عن الصدق في عصر الخيانة وتبحثعن الحب في قلوب جبانة *	anger	0.530
2018-Ar-03771	حانق جدا اتمنى محد يكلمني	anger	0.656
2018-Ar-00786	أنا جبانة وبخاف جدا من الفشل لدرجة أني بكتب بس ع تويتر عشان متأكدة أن محدش هيقرء اللي أنا يكتبه	anger	0.359
2018-Ar-02150	انا اللي شفته رجال مستقويين على بنت اذا فيك رجوله افهم الحكاية منها بهدوء بدون صراخ ولا ترهيب #براءه_ساحره_الرياض	anger	0.484
2018-Ar-00146	@Mawteeni نذاله وخسه اذا اللي يسفكون الدم رياييل من اصل لايتجهون للافراد ليواجهو قبحهم الله الكفره	anger	0.734
2018-Ar-02849	من تبي اعنفها تجي خاص او ببي بسرعه 🔥 D8A60BFC #بوب_كورن #محنه #ممحونه #زب #مولعه #مشتهيه #سكس_فون #سكس_كتابي #عنف #فحل	anger	0.306
2018-Ar-00831	#اليوفي صار سوق الجمعه لاندية اوروبا😡\nكل نجوم الفريق تحت مجهر الانتقالات	anger	0.516
2018-Ar-00294	خيانة المرأة أشد من خيانة الرجل ؛ لان الرجل يخون بشهوته أما المرأة فتخون بعواطفها	anger	0.456
2018-Ar-02152	- تتوهمين فلن تستطيعين البقاء إلى جانبي مدة يومين أنا رخو أزحف على الأرض انطوائي كئيب متذمر - وإن كنت مجرد جثة في العالم فأنا أحبك	anger	0.297
2018-Ar-04004	ياما حاولت الفراق و ماقويت \nكنت ابي انساه لكن مانسيت ...	anger	0.288
2018-Ar-00072	يا اخى كسم الماده على كسم الكليه اللى تخلينا مضغوطين وقرفانين بالشكل دا\nالله يلعنكم احياء واموات والله	anger	0.955
2018-Ar-01218	الموضوع الاى احنا بنهرى فيه و نتخانق عليه انهاردة مثير للدهشة والاشمئزاز و الاحتقار و القئ كمان..بناقش ارضنا بتاعتنا و لا لأ ..هزلت	anger	0.742
2018-Ar-01711	#اجنبي_يضرب_مواطن الله يكسر ايدك يجي من ديرته مايسوى ريال ويتمرد بعد حيوانات كره عظيم لهم بداخلهم حقد حسد للشعب أعوذ بالله	anger	0.906
2018-Ar-02350	@3alyoum التوسل والخوف اللي صابها ماشفته حتى بالافلام دامها ماهي على غلط ليه كل الهستيريا والرعب اللي اصابها ؟؟	anger	0.424
2018-Ar-00815	قدام المستشفي ست متسوله موجوده كل يوم الصبح اول ما الجو بقي حر و الشمس بقت شديده لبست نقاب \n😠	anger	0.561
2018-Ar-01547	كآبة بهالوقت متى انام بس	anger	0.453
2018-Ar-04376	بكره الزحمة 😠	anger	0.594
2018-Ar-02314	@mahaelfiky48 @toqa_yasserr انتي ما بتحبيش الشوكولاته يا مها هانم مش كل ما اطلب حاجه تطلبيها 😠😠😠 سيبني استمتع مره من نفسي	anger	0.515
2018-Ar-00848	البيت كله مكتئب و حاجة الكآبة سيد الموقف خالص يارب هون وعدي الايام علي خير	anger	0.574
2018-Ar-01790	مش كفايه امتحان الانجليزي جهة صعب كمان جابولهم  الفيزيا زفت😤	anger	0.545
2018-Ar-01168	و بعدين يعني مااا اشوف المسلسل 😤	anger	0.406
2018-Ar-01716	اكثر شيء يزعجني لما احس ان خاطري زعلان بس م ادري ايش السبب 🚶 🏻	anger	0.485
2018-Ar-04037	حسبي الله ونعم الوكيل ليش التضييق على طالب العلم واللي عنده طموح ليش تمنعونه بسبب ظروف منعته من الانتظام #لا_لايقاف_الانتساب_والتعليم_عن_بعد	anger	0.828
2018-Ar-02163	الشي الأحلى ان الفيلم مبني على قصة حقيقية عرفني على مرض أول مره أعرفه و كنت اتوقعه نفسي لكنه عضوي و أعراضه جد مرعبه 💔 💔	anger	0.242
2018-Ar-02397	وش هالكآبة بالاتراك الله ياخذهم كل نهايتهم حزن وبكبكا	anger	0.667
2018-Ar-02787	مسوين منتو زعلانين على الرابع لا انا زعلان كان الفيصلي والفنح في متناول اليد وبكل بساطه تقوم (تتعادل بغباء وتخسر باستهتار) شئ يقهر #الاتحاد	anger	0.530
2018-Ar-02438	@omomar10095411 طيب وإللي بيصدقوه يبقوا إيه حاجه تغيظ فعلا	anger	0.625
2018-Ar-02828	ضغينة إلى أولئك المتعجرفون الذين يتحدثون بإسم الهيام وهم مخادعون	anger	0.547
2018-Ar-04232	يعني إن شاء الله بعد أسبوع تكون نتائجها أوضح :( ريم لا تخليني أقلق كثير عليك لا تتركين علاجات من نفسك أرجوك :(	anger	0.333
2018-Ar-03475	الصادم في حقيقة الامر ان خلود رجعت مشاكسة مثل قبل وتضايقني مجددا وكأننا لم نتحدث بهدوء قبل قليل	anger	0.438
2018-Ar-01765	يتم صرف المليارات ع كره فارغةتركل بالرجل ويثورون غضبا لها ولايهمهم من نام في بلادهم جائع ويتفاخرون بقهر النساء انه الموقع الجغرافي الملعون	anger	0.652
2018-Ar-00015	تراجع غريب ارتباك غريب انت افضل في الشوط الاول فلماذا هذا التراجع والارتباك	anger	0.438
2018-Ar-01706	تم تقديم #شكوى لدى #وزارة_النقل وتم إغلاق الشكوى دون تغيير في الموقع #جلاجل #سدير #المجمعة #جوي	anger	0.348
2018-Ar-01961	إلىٰ متىٰ الألم يغلب على الفرح	anger	0.424
2018-Ar-02189	كاسة الشاي بايدك بنص الشارع خزي وعار مكدرتش ابلعها	anger	0.703
2018-Ar-01628	#غرابيب_سود ام بي سي هالحثاله يعني ايش بيطلع منها مثلاااااا ؟؟؟؟ قبحهم الله	anger	0.727
2018-Ar-03119	احياناً اوصل مرحلة من القنوط افكر ليش انا من بين كل هالبشر؟ وش الخلل؟؟ وش الذنب اللي سويته بس!	anger	0.703
2018-Ar-03527	@FerasQ11 @ELRey_FCB @Nadjib__FCB ترة كان بامكاننا نحقق اكثر من  هالتسع بس عندك ادارة تخسى تسوي هالشي 😂😂☺️ ادارة جبانة	anger	0.422
2018-Ar-03172	للأسف الشديد ليس فقط اعلامهم فالإعلام العربي أيضا بنفس النهج والاسلوب #اشمئزاز	anger	0.547
2018-Ar-03401	انني طيب بما يكفي لاسامحك ولكني لست غبيا بما يكفي لاثق بك مره اخرى	anger	0.364
2018-Ar-02233	@le_minaa @fadysameh15 -حضرتك ابنك فاشل وبشتكي منه اهو 😠\n=وانا مالي ماتكلم ابوه 😂😂\nاية العيلة دي	anger	0.379
2018-Ar-04044	نشعر بامتعاض وخيبة أمل من تصرفات مراهقين سياسيين مثل حكام السعودية والامارات والبحرين وغيرهم من المقاطعين	anger	0.606
2018-Ar-00782	وش هالصراخ وجععع #رامز_تحت_الأرض	anger	0.359
2018-Ar-02682	النشوة الكفرية اللي تجيك وتروح تعتقد إنها ببلاش 😅 (ولكن من شرح بالكفر صدرا فعليهم #غضب من الله) #عقلانيون	anger	0.484
2018-Ar-03535	#شتسوي_وقت_العصبية                      أظل ساكتة الين ما يجي احد ويسألني وش فيني و انفجر عليه 😤	anger	0.532
2018-Ar-00893	@abdulrahmansaee واضح ان الكل حانق على اللجنة والاختيارات من اول ما طلعت كانت واضحة 🙂 لكن وش تقول	anger	0.576
2018-Ar-04315	اة يا دولة\nمش عارفين نستقبل فيها معايدات\nولا عارفين حتى نعيد على حد\n#قهر\n#وجع\n#حسرة\n#ذل\n#مهانة	anger	0.773
2018-Ar-03438	وصورك المعلقة على الجدار تتعرق كما لو انها تنقرض صورك التي تشبه فراشة نحيلة بسبب ذبول المطلق وانا انا وحيد القطط تنظر ألي بشفقة	anger	0.392
2018-Ar-02711	الإستماع إلى # الأب أثناء # عصبيته_وصراخه ،\nمثل قراءة شروط وقوانين # مواقع_الإنترنت ..\nما # بتفهم شي ، بس # بتضغط موافق 👍😅😂😂😂😂\n#لانا	anger	0.328
2018-Ar-00250	لأول مره اعيش رهبة خوف حزن واقعي انكسار ما ينجبر فقدان اعز ما عندي دموع امي و ابوي و اخواني يارب الطف بقلب كل فاقد	anger	0.561
2018-Ar-03187	هه بالله الخيانة صارت نزوات اذا كذا انت مو ضد خيانة المرأة بأعتبارها نزوة بعد	anger	0.547
2018-Ar-02700	- أخاف أن تقتل أولادنا التعاسة وضيق الاحتمالات - جرعة أمل ويعودا للحياة فلا تقلق	anger	0.375
2018-Ar-03518	#بنقول وقولنا وحانقول وقت الهمبكه خلاص خلص ومافيش ضغط باسلوب 2011 تاني خلاص كل واحد حاياخد قراره ويتحمل مسئولياته من غير خوف طالما صح	anger	0.471
2018-Ar-02443	هذا حقير اكرهه من زمان لو يرجع لتفسير الأحلام ازين له	anger	0.688
2018-Ar-02197	الايام دي وجعاني اووي ومع ذلك لسه بضحك وبقول انا جامده اهو ومستهيفه كل احساس خوف جوايا بس الاكيد اني مش خايفه من اللي جاي بس انا #مرعوبه	anger	0.516
2018-Ar-01508	هههههههههههههههههههههههههههه و الله العظيم هالحساب أرهب شيء صار بيومي	anger	0.081
2018-Ar-01611	يعني عشان ابويا يخرج مورينا السواد ولسه مخرجش\nربنا يقتل الفرحه ف قلوب الظلمه وينتقم منهم يارب☝\nحسبي الله ونعم الوكيل	anger	0.891
2018-Ar-00504	العيال في الشارع بيفرقعو ا قدام البيت. رحت  طاع وشاخط شخطه هزت ارجاء الشارع😂عينك متشوف الا النور الشارع كله طلع يشوف ايه البيحصل عاوز انام 💪	anger	0.359
2018-Ar-03253	أنا أكتر واحدة كانت بتخاف من الخسارة بأخاف من الفشل بخاف من نظرة الناس بأخاف من الفراق كنت جبانة وخوافة من كل حاجة خوف كان مانعني من الحياة	anger	0.439
2018-Ar-04361	هتفضلوا لحد امتى تقولوا ضبط النفس والثبات الانفعالى والاكليشهات دي الى اعرفة ان العين بالعين والسن بالسن كفاية ضبط زفت 😡😡	anger	0.871
2018-Ar-00571	والله مشكله يعني قطر كلها مترين في اربعه ومسوين إزعاج 😂 😂	anger	0.258
2018-Ar-01784	لا رسم لا صوت لا شي منه فايده انا وش الفايده مني😂😂😂😂☹️💔	anger	0.313
2018-Ar-01331	سقطتوا ياساقطين تبقى قطر واحة امن وامان رغم الحصار والشتائم اتجهتوا للمسلسلات وهذا دليل افلاسكم اتفو	anger	0.859
2018-Ar-03013	اميين ياارب هو وولده بشار الأسد الله ينتقم منهم انتقام عاجلا غير اجلا	anger	0.652
2018-Ar-02958	#إهمال_المدارس_الثانويه_في_تأخير_الملفات\n- يعني عيب والله يكفي انو ذي الفتره كلها اختبارات تحصيلي , نهائي , قدرات💔💔.	anger	0.516
