ID	Tweet	anger	anticipation	disgust	fear	joy	love	optimism	pessimism	sadness	surprise	trust
2018-Ar-02635	الحمدلله اذا حسيت اني مرضيه ربي احس بسعاده داخليه ليت اللذي بيني وبين الله عامر واالذي بيني وبين الناس خراب	0	0	0	0	1	1	1	0	0	0	0
2018-Ar-03712	@nowaaaash ليش وسواس تعوذي من الشيطان واكثري من الاستغفار حتى انا يجيني بس لاني انشغلت في علوم القران والدراسه سبحان الله اختفى تماما	0	0	0	0	0	0	1	0	0	0	1
2018-Ar-01771	واحدة بعربية bm عالاذان بالضبط خبطتني من ورا نزلت مخضوض اتخانق و اشتم لقيتها قعدة مذعورة و بتتأسف و تقول سرحت .. سيبتها و مشيت 😑	1	0	0	0	0	0	0	0	0	0	0
2018-Ar-03261	لحظة #صبر في لحظة #غضب تمنع ألف لحظة #ندم	1	0	0	0	0	0	1	0	0	0	1
2018-Ar-03322	يشبه شي كنت استخدمه، المهم انبسطي وقضي اوقات ممتعة، انا انبسطت معاك في سناباتك، شكرًا💙	0	0	0	0	1	1	0	0	0	0	0
2018-Ar-01372	إدعس سعادة المستشار على رقاب الجحوش قبحهم	1	0	0	0	0	0	0	0	0	0	1
2018-Ar-03513	23_ بحب ضحكتك جدا والله وانتي عسل ودمك خفيف جدا مبسوط اني عرفتك وبعزك جدا والله يعني وبرضه محدش هيكتبلك رسايل علي صراحه دادادا 😂 ❤️❤️❤️❤️	0	0	0	0	1	1	0	0	0	0	1
2018-Ar-03590	@RolaFouad @mshinqiti @BlueSam2011 المغرب ماهو فاضي يفتح جبهه خصوصا ان الريف يغلي عليه غليان فتصور تغطي اخبارها الجزيرة.  فقط تغطيه	1	0	0	0	0	0	0	1	0	0	0
2018-Ar-03402	ياخي ده انت بتتعذب و انت بتتكلم الله يحرقك يا كابتن متحت و موت بغيظك 💅🏻	1	0	0	0	0	0	0	0	0	0	0
2018-Ar-04003	@alkuwaite_7 ابي مساعده  الي يكدر يساعدني  ربي يجعلها بميزان حسناتكم  اقسم بالله  محتاجه مساعده	0	1	0	0	0	0	0	0	1	0	0
2018-Ar-00692	عند سقوطه لا يعدم و انما يقتاد الي عنبر الخطيرين في مستشفى الامراض العقلية و منه تسقط كل توقيعاته و لا يعترف او يعتد بها طالما هو #مجنون	1	0	1	0	0	0	0	0	0	0	0
2018-Ar-00785	بيض الله وجهك والله ماقصرت وواصل الى الامام ماعليك من الاعلام المعادي اتمنى ابعاد كل لاعب يتمرد على النادي مشجع نصراوي30سنه	0	0	0	0	1	1	1	0	0	0	1
2018-Ar-00976	عيد سعيد جميعا كل سنة وإنتو طيبين يارب أتمنى لكم عيد مليء بالأفراح مع اللي تحبوهم ولا مانع من العيديات والشوكلاتات والمفآجات 😍 🎈 🎁	0	0	0	0	1	1	1	0	0	0	0
2018-Ar-02799	تخيل نفسك هزيل الجسد مرعب الهيئة خالي من التعابير نظرة الخوف واليأس تشرح حالك حاول ان تحفظ هذه اللحظة وكل وقت ترى نازح تذكرها وساعده	0	0	0	1	0	0	0	0	1	0	0
2018-Ar-00419	@Bobleshc @YehiaMayar لا ازاى يا حبيبي نام و ارتاح  😞  😠	1	0	1	0	0	0	0	0	1	0	0
2018-Ar-03416	#KingJiyongIsBack- ﴿ وما كان الله معذبهم وهم (يستغفرون) ﴾ #أمان 💭 💘 -	0	0	0	0	1	0	1	0	0	0	1
2018-Ar-01921	#بهجة_أمل 💕\n٩٩.لماتنزل درجة المادة ماقبل الأخيرة 😍😍😍😍😍ياربي ايش اسوي أطير يعني ولا أنقز والله ايش بالضبط صارقلبي بستان شكرايارب لأنك معايا😍💕	0	0	0	0	1	1	1	0	0	0	0
2018-Ar-00206	الأنا خايف منو وبقرض في أضافري من التوتر إنو البيتكوين يبقى بعد شوية من متطلبات الشيلة والله إلا نجعر	0	0	0	1	0	0	0	1	0	0	0
2018-Ar-03102	#البشير_يتطاول_على_مصر يا صبر ايوب	1	0	0	0	0	0	0	0	0	0	0
2018-Ar-01690	شبابه حلو والله ومجنون ودمه خفيف احب مسلسلاته القديمة	0	0	0	0	1	1	0	0	0	0	1
2018-Ar-00509	زي انهاردة من سنة كنت قلقان و متوتر  و حاسس بشعور طلاب الثانوية العامة دلوقتي .\nفا يارب اصلح حالهم و اكرمهم 💔\n#ثانويه_عامه	0	1	0	1	0	0	1	0	0	0	0
2018-Ar-00134	عنجد انت شخص كلمة حب قليلة عليك وكلمة طيب كمان قليلة انت مو بس #فرحة_رمضان انت فرحة كل العالم 😍 ❤ #تركا_علينا	0	0	0	0	1	1	0	0	0	0	0
2018-Ar-00038	@moonalkon2 ذكرني فيني باول برزنتشين ارتجاف وهوف مو طبيعي😂😂😂	0	0	0	1	1	0	0	0	0	0	0
2018-Ar-00804	انتو حتى عقولكم ممنوعه من سماع الراي الاخر وممنوعه من قول الحق بدليل مستشاركم الي مسح تغريدته هذا مب خوف وترهيب للشعب	1	0	1	0	0	0	0	1	0	0	0
2018-Ar-00767	اليوم راح نبلش بالمشروع عند اشارة القرين ❤️😍\nالتوزيع راح يكون وجبة افطار صائم وهيا عباره عن : تمر ،  لبنه ، ماي ، لبن . \n#ابتسم_تكفى	0	0	0	0	1	1	1	0	0	0	0
2018-Ar-02958	#إهمال_المدارس_الثانويه_في_تأخير_الملفات\n- يعني عيب والله يكفي انو ذي الفتره كلها اختبارات تحصيلي , نهائي , قدرات💔💔.	1	0	0	0	0	0	0	0	1	0	0
2018-Ar-00245	يا باغي الخير أقبل #فرحهم_ب_كسوة_العيد كن سببا لإبتسامة يتيم أو محتاج	0	0	0	0	1	1	1	0	0	0	0
2018-Ar-01208	@momo04179 الله لاسامحك لادن يا ولا اخره قصدك من كتب كتب خافي الله لما تقولي هاذا الكلام لجميع اليمنيين	1	0	1	0	0	0	0	0	0	0	0
2018-Ar-00460	وقع فمات القصه حزينه	0	0	0	0	0	0	0	0	1	0	0
2018-Ar-02600	ماأصلح للإستغلال أبدا لأني على رغم الضعف اللي تشوفه فيني أقدر أستبدله بخبث فالله يرضى عليك إبعد وإنت طيب	1	0	0	0	0	0	0	0	1	0	0
2018-Ar-00723	@maroko_chan " اقل ما فيه انه يذل ، يهين ، يسقط الكرامه " الواحد وش ينتظر خطوره اكثر من انه تنهان كرامته و ينذل!	1	0	0	0	0	0	0	0	1	0	0
2018-Ar-03917	✨ تقبل الله منا ومنكم ✨ وعيدكم بهجة لا تغادركم أبدا	0	0	0	0	1	1	1	0	0	0	0
2018-Ar-01590	#تعب #حزن #ضيق #وجع #ارهااق #مختنق #صدماات	1	0	0	0	0	0	0	1	1	0	0
2018-Ar-02950	@FatimGuc99 @Tatiimah اهم فيه شعلله لو على خفيف 😂 اصلاً الشعلله الزايده ذي مو عاجبتني سببت لي توتر اخاف يفوتني شي	0	0	0	1	0	0	0	1	0	0	0
2018-Ar-02588	#طروب #فنانة_من_لبنان صوت ايجابي وبيحض على الفرح وكذا (ما بعرف شو ذكرني فيا على كل حال صباحو يا جماعة) 🤗	0	0	0	0	1	1	1	0	0	0	0
2018-Ar-01052	والله بروج انتي من يوم ما اشوفك ابتسم لا شعوريا وجهك يجيب الانشكاح والتفاؤل ماشاءالله 😍 😂 💗	0	0	0	0	1	1	1	0	0	0	0
2018-Ar-03447	اللهم اني اعوذ بك من الهم و الحزن واعوذ بك من العجز و الكسل واعوذ بك من الجبن و البخل واعوذ بك من غلبة الدين وقهر الرجال	0	1	0	0	0	0	1	0	0	0	0
2018-Ar-03018	عيدكم مبارك وسعيد نبتهج بالعيد وإن كان في القلب حبيب بعيد او واقع ألمه يزيد فلن يسرق منا سعادة العيد السعيد — feeling festive	0	0	0	0	1	1	1	0	0	0	0
2018-Ar-02214	إيه لا لا لا...😉😉 الفرح حيبوظ على وحدة ماتت ولا إيه😂😂🙊🙉🙈🙈😂😂 #أكرم_حسني ❤ #الحب #خفة_دم   🙈🙉💚💚😂\n#ريح_المدام	0	0	0	0	1	1	0	1	0	0	0
2018-Ar-04230	عندما غضب المصريون غضبة مضرية لفكرة تخصيص مستشفى جابر للكويتيين لم ننفعل بهذا الشكل #تطاول_الوافدين_علي_صفاء_الهاشم	1	0	1	0	0	0	0	0	0	0	0
2018-Ar-03711	بس أبكي واكون ضعيفه ومستسلمه، وساعات يجيني خفقان قلب وانهار! اهلي شكّو انه صرع.	1	0	0	1	0	0	0	0	1	0	0
2018-Ar-03189	كنت متحمس لحلقه اليوم ومتحمس ايضا بمشاركه حسين عبدالرضا لاكن انصدمت فعلا بأن القلب السعودي حسود يكره الحب نكدي ملقوف 👎 🏼 #سيلفي٣	1	0	1	0	0	0	0	0	1	0	0
2018-Ar-04168	ولكنني قلق دوما حيال الأمور التي لم تحدث بعد تلك الأمور المنتظرة  💙 (ღميرووღ)	0	1	0	1	0	0	0	0	0	0	0
2018-Ar-01879	خايف امسح اي ورق من علي الموبيل او اعمل unsave لحد م اشوف هعدي ف ايه وهشيل ايه 😁 مع اني مكنتش بفتحهم اصلا غير ليلة الامتحان 😂😂😂	0	1	0	1	0	0	0	0	0	0	0
2018-Ar-03854	مشاعرى تشكو الغياب وتقيم الحداد كلما تذكرتك يامي خيم الحزن على قلبي وكان غيمة سوداء تصب مطرها من دموعي اه ياوجع الرحيل	0	0	0	0	0	0	0	0	1	0	0
2018-Ar-01939	#بخاطري_ودي_اقول ومع كل غياب يسقط منا شيء إما قطعة ثقة أو ربما خيبة أمل	0	0	0	0	0	0	0	1	1	0	0
2018-Ar-04211	@3hod04 اليسا فناناتي المفضلة من البوم بدي دوب 😘 و ائل كفوري . . . و كاظم الساهر لانو يغني لنزار قباني و الباقي مود اجنبي 👻	0	0	0	0	1	1	0	0	0	0	0
2018-Ar-04282	واصلا فلسفه زايده 🙂 وش دخلك اصلا اذا انا حزينه او لا جاي تقيم حزني مثلا	1	0	1	0	0	0	0	0	0	0	0
2018-Ar-00904	مابعرفش أسيطر على إنفعالي الطفولي ودي حاجة دايما بتسببلي إحراج والله 😞	1	0	0	0	0	0	0	0	1	0	0
2018-Ar-01731	#Birthday_HEM تونايت: يلي " وجهك يعلمني معنى الفرح يحسسني إن الحياة بكبرها ضحكة ثغر"	0	0	0	0	1	1	1	0	0	0	0
2018-Ar-02003	كل هذاولا سال عن السبب مع ان ممكن يكون سبب تافه اودلع بنات على قولتهم كان كل همه من اللي نزل دموعي كانت ردت فعله بس يبي ينتقم من اللي زعلني	1	0	0	0	0	0	0	0	1	0	0
2018-Ar-01262	ايش يبغون الاتراك مسوين انقلاب وقلق	1	0	0	0	0	0	0	0	0	0	0
2018-Ar-01002	أول مرة يقعد مع خطيبته ؟\nمن الارتباك سألها :\n\nاخوك الكبير احمد شنو اسمه ؟\nقالت : أي واحد فيهم !😂\n\nواضح فيه توافق فكري الله يوفقهم😂	0	0	0	0	1	0	0	0	0	1	0
2018-Ar-01213	#بهجة_أمل \n٨٩.*أمل لما أتكلم معاك أحس براحة نفسية و ما نفسي أوقف *\n*أمل انت قاعدة توريني الحياة من جهة ثانية و تفتح لي آفاق *💕💛🍭	0	0	0	0	1	1	1	0	0	0	0
2018-Ar-02299	#ربي أدخل #شهر_رمضان #علينا وأنت #راضي عنا و إجعلة شهر #تتبدل فية #ذنوبنا إلى #حسنات #وهمومنا إلى #أفراح #وأحﻻمنا إلى #واقع	0	0	0	0	1	1	1	0	0	0	0
2018-Ar-02614	السلام عليكم صباح الخير سعادة الدكتور عبداللة اشكركم على جهودكم لتوعيتنا واهتمامكم فينا كابناكم #فرحتي_بنجاحي	0	0	0	0	1	1	0	0	0	0	0
2018-Ar-03546	تتوقعون وش بيصير الاحد 😎😂 داىم يبهرنا سرور بااشياءه فااباذن الله شي جميل #سنابات_سرور_الروقي	0	1	0	0	1	1	1	0	0	0	0
2018-Ar-01709	ثلاث نقاط مهمة بالنسبة لأي شخص .. \n-طلع يلي في قلبك مع شريك حياتك \n-استمتع بحنان أهلك\n-إصنع الإبتسامة لأصدقائك☺\n#أنس 💙	0	0	0	0	0	1	1	0	0	0	0
2018-Ar-02961	يوم أسود في تاريخ #مصر احساس بالمهانة غير سبوق نواب عار هيدخلوا التاريخ من اقذر ابوابه حسبنا الله و نعم الوكيل #تيران_وصنافر_مصرية	1	0	1	0	0	0	0	1	1	0	0
2018-Ar-03437	مفيش حاجه مبهجه انهارده غير اعلان  cristiano ronaldo ❤\nI love you bgd 😂😍❤	0	0	0	0	1	1	0	0	1	0	0
2018-Ar-04159	وأعشقُ الصبحَ اذا تسري نسائمهُ\nتعيدُ في كل روحٍ .. بسمة الأملِ\n.\nلنآ مع الصبحُ .. أمالٌ نرجيهآ\nونسألُ اللهِ فيهِ صالحَ العملِ\n.\nصباح الخير💭💜	0	0	0	0	1	1	1	0	0	0	0
2018-Ar-01975	#ترحيل_مهند_الفلسطيني_مطلبنا بصراحة في تساهل مع الوافدين كم من اجنبي مجرم تمت محاكمته وسجنه ثم يرحل ويسمح له بالعودة إلى بلدنا	1	0	1	0	0	0	0	1	1	0	0
2018-Ar-02671	والدي استودعتك الله من كل شر لقد قلقت عليك كثيرا هاهي الساعه السابعة وخمسة وأربعون دقيقة وأنت لم تأت بعد من صلاة الفجر حفظك الله	0	1	0	1	0	1	1	0	0	0	0
2018-Ar-03075	طب انا اقسم بالله بسمع اغنية راجعين جسمي بيقشعر حلاوة اول حلقه وانشكاح اول حلقه بكل مافيها من احاسيس متلخبطه 😍 😍	0	0	0	0	1	1	1	0	0	0	0
2018-Ar-03563	الشوق غصة وارتجافة واختناق ما لي معه حيلة ولا لي فيه حيل *	0	1	0	0	0	1	0	0	1	0	0
2018-Ar-01417	سعيد 🙈 😻 ربنا يسعدك دايما بالخير 🙋 ❤ وينور قلبك بالفرح والسعاده يارب دايما 💕 🍫	0	0	0	0	1	0	0	0	0	0	0
2018-Ar-01570	وابدأ افتكر كل حاجة حلوة من تاني كده، كمية التشويق اللي في الموضوع ده كبيرة جداً واتمني يكون في حد عنده نفس الرغبة دي عشان ماحسش نفسي عبيط	0	1	0	0	1	1	1	0	0	0	0
2018-Ar-00331	ابتهاج اجتماع الحبايب والله يزيد السعادة سعادة❤️	0	0	0	0	1	1	1	0	0	0	0
2018-Ar-02770	أما خوفكم من الموت فهو أشبه بارتجاف الراعي الواقف أمام الملك عندما يرفع يمينه فوق رأسه لكي يكرمه وين	0	0	0	1	0	0	0	0	0	0	0
2018-Ar-00074	#من_جمال_تويتر انو ادخل الوقت اللي ابيه واغرد باللي ابيه وم في احد يعرفني ولله الحمد مرتاحه 😎 😂 🌚 💔	0	0	0	0	1	1	0	0	0	0	0
2018-Ar-03374	كم هو مؤلم أن تسير الحياة على هذا النحو العادي بدون أمي يتخيل لي وجهها في كل مره اشعر بقسوة الحياه علي إن أشد مرارة تشعر بها هي فقدان الأم	0	0	0	0	0	0	0	0	1	0	0
2018-Ar-01491	#الهيبة #نادين_نسيب_نجيم #ملكة_الهيبة ايواااا راحت عليكي يا عليا بلش الفلم معك @nadinenjeim  اسا بدن يحطوها تحت الامر الواقع 😦	1	0	0	0	0	0	0	0	0	0	0
2018-Ar-01152	اتجنب الشخص المسبب لغضبي وابتعد لما اهدأ بس إذا لاصق فيني يتحمل غضبي ولايحاسبني بعدين  #شتسوي_وقت_العصبيه	1	0	0	0	0	0	0	0	0	0	0
2018-Ar-00491	@Afnanaldkheel مو كل بنت تقدر ترفع دعوى ، فيه بنات يكونون تحت ضغط وترهيب فضيع. ماتقدر تتصرف أي تصرف والا يعنفونها. الموضوع يقهر.	1	0	0	0	0	0	0	0	0	0	0
2018-Ar-04261	يلي مفكر حالو فهمان وعامل فيها #أمني_لفصيله\nونازل #ترعيب و #ترهيب و #طحش و #مداهمات\nبحب قلك انك على #نهج_الشبيحة\n\nالقرون أشرف إلك.. 😊	1	0	1	0	0	0	0	0	0	0	0
2018-Ar-03030	كمان 3 دقايق و هشتم المدير بابشع الالفاظ 😡	1	0	0	0	0	0	0	0	0	0	0
2018-Ar-03224	· بتكبرين ياللي من رضا الأيام جيتي يوم ميلادك فرحة عمر مو تاريخ عابر 💙	0	0	0	0	1	1	0	0	0	0	0
2018-Ar-03562	تعبت من التوتر اتمنى انام واصحى بعد ماتنتهي و اشوف الثانيه عشر رافعها راموس	0	0	0	1	0	0	0	0	1	0	0
2018-Ar-01318	#مناره_الحدباء هذا العمل يدل ان لا ثورة عشائر كانت ولاشي وهذا التهديم وصمت عار بجبين من ادخل داعش وصفق له يذكره التاريخ للحشر والله #جبناء	1	0	1	0	0	0	0	0	0	0	0
2018-Ar-03235	@fm94a تتذمر شنو انت حقو تتجلد 35 جلدة في نص السوق العربي الساعة 2:30 ظهراً	1	0	0	0	0	0	0	0	0	0	0
2018-Ar-00299	بعض الاغاني تدخل القلب وتبعثر كل مافيه وتصعد العقل وتبحث فيه عن الذكرى المرتبطه بهذه الكلمات ،فيبدأ يخيم على صاحبها السكوون والمصحوب بتنهيده	0	0	0	0	1	0	0	0	1	0	0
2018-Ar-01874	ضريبة على العربيات اللى فوق ال ١٠٠ الف .. هو فى عربيات باقل من كده يا بهيم بعد ما غرقتوا الجنيه ؟؟؟	1	0	0	0	0	0	0	1	0	0	0
2018-Ar-02429	اكتشفتا انو عندي " Trypophobia "\nفوبيا الثقوب 😢😭	0	0	0	1	0	0	0	0	0	0	0
2018-Ar-04097	التعدد ما هو إلا خيانة للزوجة بإسم الدين و بدون أي تأنيب ضمير و أي رجل يلقب زوجته بالبرميل فلا يستحق اهتمام أي امرأة	1	0	1	0	0	0	0	0	1	0	0
2018-Ar-01650	اتمنى لك احلام سعيدة فيني❤️	0	0	0	0	1	1	1	0	0	0	0
2018-Ar-00899	اف اف شو صاير بالخليج 😦...ليش هيك هالتوتر ...؟؟؟ والله اني ما عم اعرف شي من هالدنيا الا الكتب و الامتحانات 😑	1	1	0	0	0	0	0	0	1	0	0
2018-Ar-01369	@Mayar05420154 @moniaah__ يابنتى انتى المفروض تحتفلي بيا وتفرحيني وتعمليلي مفاجأة ده انا عيدميلادى قرب خالص وانتى عارفة انى مكتئبة 💔	0	1	0	0	1	1	0	0	1	0	0
2018-Ar-02683	كمية احساس وطرب زي السياره لما تعبيها فل 😍 ❤	0	0	0	0	1	1	1	0	0	0	0
2018-Ar-03635	وعليك السلام وصدقت فيما قلت ولكن هذا الشخص سخر حسابة لشتم والسب في كل من ينتمي لنادي #الهلال وهذا سبب ردي عليه	1	0	1	0	0	0	0	0	0	0	0
2018-Ar-01418	قبيله حرب والله ان غضبي عليهم غضب الله على بليس	1	0	0	0	0	0	0	1	0	0	0
2018-Ar-03391	هاذا مو انتقام وبس انتي قضيتي علي	1	0	1	0	0	0	0	0	1	0	0
2018-Ar-03835	طمني عليك اذا حسيت بأي اذى بتلقلتي مع قلبك اذا بكى..	0	0	0	0	0	1	0	0	1	0	0
2018-Ar-00180	يستفزوني الأشخاص اللي بتويتر ماخذين وضعية احنا الوحيدين اللي محد يعجبنا وهم بالواقع خاتمين المجتمع، يعني ما فهمت ليش إثارة الشفقة هذي؟	1	0	1	0	0	0	0	0	0	0	0
2018-Ar-01945	بحكي لك عجز: شفت خوف إنسانة حقيقية على أمها الجدة! قد خوفي عليك لهالحظة. هزني الموقف! وكنت أضعف من أنّي أمسح دمعتها أو ألملم إنكساري.	0	0	0	1	0	0	0	0	1	0	0
2018-Ar-03320	@NadeenOdeh2 😂😂😂😂 منبسطة ع شو يا عالم يا ناس ايش صايرلكم لا دين صح ولا حياه صح استغفرالله بس الله يجيرنا من الآخرة	1	0	0	0	0	0	0	0	0	0	0
2018-Ar-01869	كل ماجيت اعتني في نفسي الموجوعه سببت في صدري #الاحزان صوت وزحمه جعل ماجاني على دنيا الشقا من لوعه تحتسب في الاخره تخفيف ذنب ورحمه	0	0	0	0	0	0	0	1	1	0	0
2018-Ar-01252	عن الليالي السود المخيفة : كنت الاشراق السريع مدحضة كل ذعر قاتلة كل نوبة ذعر ابدا لن انسى ذلك يا طهر هذه الارض و ركازها	0	0	0	1	0	0	0	0	1	0	0
2018-Ar-03411	ايه رايكم فى الحيوانات اللي غضبوا على هزيمة مصر من تونس وما تحرك لهم جفن على بيع الجزيرتين والخيانات اللي بتم فى العلن والخفاء	1	0	1	0	0	0	0	0	0	0	0
2018-Ar-02122	#احتفالات_عيد_الرياض مو حلو عيدكم حنا احلا 🙄	0	0	0	0	1	0	1	0	0	0	0
2018-Ar-02891	⁦مرحبا أنتي جميله وهناك شخص يحبك كوني سعيده دائما لأن عيناك مذهله عندما تبتسمين 💘	0	0	0	0	1	1	1	0	0	0	0
2018-Ar-01069	صحيت من النوم فايق و مفيش حاجة معكرة مزاجي قولت ازاي دا يبقي عيب حتي والله فتحت الnotes القديمة قريت فيها شوية و الحمد لله بقيت زالزفت تاني	1	0	0	0	0	0	0	1	1	0	0
2018-Ar-00674	@LibyaAlhadath الحمد لله ربنا يبقى يشلهم فة اديهم اﻻرهابيين واللى بيمولهم كمان يا قتلة المسلمين فى كل مكان	1	1	1	1	0	0	0	1	1	0	0
2018-Ar-01001	غاضب لدرجه افجر رحمك	1	0	0	0	0	0	0	0	0	0	0
2018-Ar-01828	أرغب بالهروب بعيدا أرغب بأن أعيش تحت ضوء القمر لا شمس ولا أصوات ضجر أرغب بالإبتعاد عن ذاتي وعن تفكيري المستمر إلى هناك إلى اللامفر	1	0	1	0	0	0	0	0	1	0	0
2018-Ar-00868	#ميلاد_الدعاء9 \n\nمن قالها بيقين فرج الله كربه بإذنه، وشافاه وعافاه بل ورزقه من حيث لايحتسب، وابتلاء الله تعالى للعبد ماهو إلا حب ورحمة..	0	0	0	0	0	1	1	0	0	0	0
2018-Ar-00450	الله يكفينا شر الغدرات	0	0	0	0	0	0	0	0	1	0	0
2018-Ar-02219	@IMEM__716 بشار الأسد \nيا ويلي على ذبحته 😡	1	0	0	1	0	0	0	1	1	0	0
2018-Ar-02328	لم يخطر ان يوما نشكو منهم ونردد بين الانفاس لعلهم خيرهه #صديق #احباب #اصحاب #عتاب #حزن #غالي #شعوري_الحين_يقول #ضيق #رمضان #الفقد #قصيد	1	0	0	0	0	0	0	0	1	0	0
2018-Ar-03312	لو اجتمعو ع ان يضروك بشيء لن يضروك الا بشيء قد كتبه الله لك 😍 #اطمئنان	0	0	0	0	0	1	1	0	0	0	1
2018-Ar-00836	#عوده_اخطر_معلمين_في_العالم\nوعليكم السلام ايوه صباح الانشكاح	0	1	0	0	1	0	1	0	0	0	0
2018-Ar-00413	#ﺎلكبرياء ؛ ﺎن تبتسم وبداخلك #عزاء	0	0	0	0	1	0	1	0	1	0	1
2018-Ar-00496	بعض الدول نكست اعلامها تضامنا مع مصر وضحايا #المنيا وبعضهم اعلن الحداد ، الا يوجد في #مصر من يتضامن مع مصر ويقول لفضائياتها : عيب ?!	1	0	1	0	0	0	0	0	0	0	0
2018-Ar-00980	يقولون ابحث عن فضولي الحقيقة ابحث عن مجنس في اي مشكلة #شجار_الرفاع	1	0	1	0	0	0	0	1	0	0	0
2018-Ar-00326	#السعادة كن مع الله ولا تحسد أحدا ولا تحقد وعش ببساطة مهما علا شأنك توقع خيرا مهما كثر البلاء وتعلم العطاء ولا تنتظر الرد	0	0	0	0	1	1	1	0	0	0	0
2018-Ar-03656	انا قايمه علي كابوس ابن جزمه و كذا يوم كوابيس كوابيس ؛ و قلبي واجعني و فيه اضطراب 😣 😣 بكره الكوابيس بكرهها 😖 😨	1	0	0	1	0	0	0	1	1	0	0
2018-Ar-04200	#غرابييب_سود\nلم أتابعه لكن أرى الكثير ناقمين عليه .. ودي أتابعه على شان أنقده .. عمومًا أنا لا أثق في mbc.	1	0	1	0	0	0	0	1	0	0	0
2018-Ar-00982	بينما نحن مطحونين في حر القاهره ونيلها وزحمتها غيرنا بيلهو ع البحر وبيصنع المجد وبيشمم فخاده هوا	1	1	1	0	0	0	0	1	1	0	0
2018-Ar-04345	المشكله عندي فطور رياجيل بس انا اذا صار عندي شغل يجيني قلق والنوم مايجيني مدري وش السواه 😬	0	0	0	1	0	0	0	0	1	0	0
2018-Ar-02045	#ياجدعان انا مش عاوز حد يزعل #مني وانا مش #زعلان من اي حد مهم كان الاامر	0	0	0	0	0	1	1	0	0	0	0
2018-Ar-02821	صارلي شي مية سنة مشلوحه بهالدكان ، ضجرت مني الحيطان و مستحيه تقول\n*القعدة في الاوضة بين الكتب و الملازم*	1	0	0	0	0	0	0	1	1	0	0
2018-Ar-00120	يعنى عمارة الأزاريطة دى مصيبة و كارثة و ناس دلوقتى قاعدة فى الشارع متشردة، مش مجال للسف نهائى و الله بقينا شعب جبلات فشخ	1	0	1	0	0	0	0	0	1	0	0
2018-Ar-02857	#فرحان عايز أضحك	0	0	0	0	1	0	0	0	0	0	0
